,Name,Global_Sales,Score_pro,Score_user,N_pro,N_user,genre_Action-Adventure,genre_Adventure,genre_Fighting,genre_MMO,genre_Misc,genre_Music,genre_Party,genre_Platform,genre_Puzzle,genre_Racing,genre_Role-Playing,genre_Shooter,genre_Simulation,genre_Sports,genre_Strategy,genre_Visual+Novel,PC,nintendo,playstation,xbox
35,Metal Gear Solid 3: Snake Eater,4.23,9.1,9.2,68,1686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36,Assassin's Creed: Unity,3.58,7.2,5.0,59,1291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,Assassin's Creed: Unity,0.56,7.0,5.6,10,2901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
38,God of War II,4.07,9.3,9.0,70,1512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39,Assassin's Creed Origins,4.06,8.1,7.2,70,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40,Assassin's Creed Origins,2.47,8.5,7.7,42,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,Assassin's Creed Origins,0.1,8.4,6.9,31,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
42,Far Cry 5,3.95,8.1,6.8,90,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
43,Far Cry 5,1.78,8.2,6.9,33,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,Far Cry 5,0.07,7.8,6.3,33,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
45,Harry Potter and the Sorcerer's Stone,3.73,6.4,7.5,11,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
46,Harry Potter and the Sorcerer's Stone,3.73,6.4,7.5,11,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
47,Harry Potter and the Sorcerer's Stone,3.73,6.4,7.5,11,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
48,Harry Potter and the Sorcerer's Stone,3.73,6.4,7.5,11,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
49,Harry Potter and the Sorcerer's Stone,3.73,6.4,7.5,11,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
50,Harry Potter and the Sorcerer's Stone,1.69,6.4,7.4,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Harry Potter and the Sorcerer's Stone,1.69,6.4,7.4,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Harry Potter and the Sorcerer's Stone,1.69,6.4,7.4,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Harry Potter and the Sorcerer's Stone,1.69,6.4,7.4,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Harry Potter and the Sorcerer's Stone,1.69,6.4,7.4,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Harry Potter and the Sorcerer's Stone,0.28,5.6,6.7,14,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
56,Harry Potter and the Sorcerer's Stone,0.28,5.6,6.7,14,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
57,Harry Potter and the Sorcerer's Stone,0.28,5.6,6.7,14,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
58,Harry Potter and the Sorcerer's Stone,0.28,5.6,6.7,14,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
59,Harry Potter and the Sorcerer's Stone,0.28,5.6,6.7,14,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
60,Harry Potter and the Sorcerer's Stone,0.08,6.2,7.8,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
61,Harry Potter and the Sorcerer's Stone,0.08,6.2,7.8,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
62,Harry Potter and the Sorcerer's Stone,0.08,6.2,7.8,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
63,Harry Potter and the Sorcerer's Stone,0.08,6.2,7.8,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64,Harry Potter and the Sorcerer's Stone,0.08,6.2,7.8,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
65,Harry Potter and the Sorcerer's Stone,0.07,5.9,6.9,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66,Harry Potter and the Sorcerer's Stone,0.07,5.9,6.9,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,Harry Potter and the Sorcerer's Stone,0.07,5.9,6.9,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
68,Harry Potter and the Sorcerer's Stone,0.07,5.9,6.9,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69,Harry Potter and the Sorcerer's Stone,0.07,5.9,6.9,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,Harry Potter and the Sorcerer's Stone,0.06,6.5,7.7,11,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
71,Harry Potter and the Sorcerer's Stone,0.06,6.5,7.7,11,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72,Harry Potter and the Sorcerer's Stone,0.06,6.5,7.7,11,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
73,Harry Potter and the Sorcerer's Stone,0.06,6.5,7.7,11,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
74,Harry Potter and the Sorcerer's Stone,0.06,6.5,7.7,11,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
75,Resident Evil 3: Nemesis,0.08,6.2,8.8,14,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
76,Resident Evil 3: Nemesis,0.0,7.1,8.6,8,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77,Resident Evil 4,3.62,9.6,9.0,38,1861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
78,Resident Evil 4,3.62,9.6,9.0,38,1861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
79,Resident Evil 4,0.01,7.6,7.8,15,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
80,Resident Evil 4,0.01,7.6,7.8,15,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
81,Resident Evil 4,0.1,8.2,8.5,20,653,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
82,Resident Evil 4,0.1,8.2,8.5,20,653,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
83,Resident Evil 4,0.05,7.6,8.2,14,151,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
84,Resident Evil 4,0.05,7.6,8.2,14,151,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
85,Luigi's Mansion,3.6,7.8,8.6,34,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
86,Luigi's Mansion,3.6,7.8,8.6,34,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
87,Luigi's Mansion,0.47,7.4,8.1,43,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
88,Luigi's Mansion,0.47,7.4,8.1,43,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
89,Assassin's Creed Syndicate,1.44,7.8,6.5,22,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
90,Assassin's Creed Syndicate,0.26,7.4,7.0,14,1303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
91,Monster Hunter Generations,3.56,8.5,8.0,72,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
92,Assassin's Creed: Brotherhood,3.53,8.9,8.4,81,879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
93,Assassin's Creed: Brotherhood,2.85,9.0,8.3,59,1207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
94,Assassin's Creed: Brotherhood,0.59,8.8,8.2,24,1840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
95,Spider-Man 2,3.41,8.0,8.7,50,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
96,Spider-Man 2,3.41,8.0,8.7,50,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
97,Spider-Man 2,1.12,8.3,8.4,60,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
98,Spider-Man 2,1.12,8.3,8.4,60,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
99,Spider-Man 2,0.84,8.0,8.5,41,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100,Spider-Man 2,0.84,8.0,8.5,41,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
101,Spider-Man 2,0.7,6.7,6.5,43,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
102,Spider-Man 2,0.7,6.7,6.5,43,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
103,Spider-Man 2,0.5,6.1,5.1,46,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
104,Spider-Man 2,0.5,6.1,5.1,46,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
105,Spider-Man 2,1.06,6.5,7.9,12,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
106,Spider-Man 2,1.06,6.5,7.9,12,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
107,Watch Dogs 2,1.35,8.1,7.4,11,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
108,Watch Dogs 2,0.0,7.5,7.0,16,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
109,Star Wars Episode III: Revenge of the Sith,3.32,6.0,7.4,34,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
110,Star Wars Episode III: Revenge of the Sith,3.32,6.0,7.4,34,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
111,Star Wars Episode III: Revenge of the Sith,1.24,6.1,8.0,44,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
112,Star Wars Episode III: Revenge of the Sith,1.24,6.1,8.0,44,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
