Name,Platform,Genre,Global_Sales,game_key,Name_meta,Genre_meta,Score_pro,Score_user,Publisher,Developer,N_pro,N_user,day,year,month,release_date,quarter,Franchise_wikipedia,compound,multiplayer,singleplayer
Uncharted 2: Among Thieves,PS3,Action,6.74,uncharted-2-among-thieves,Uncharted 2: Among Thieves,"Action Adventure, Modern, Modern, Linear",9.6,8.8,scea,Naughty Dog,105,7352,13,2009,10,2009-10-13,4.0,Uncharted,0.4753942857142856,1.0,1.0
Red Dead Redemption,PS3,Action,6.57,red-dead-redemption,Red Dead Redemption,"Action, Shooter, Third-Person, Historic, Action Adventure, Historic, Historic, Open-World",9.5,8.9,rockstar games,Rockstar San Diego,73,3691,18,2010,5,2010-05-18,2.0,Red Dead,0.32953287671232884,1.0,1.0
Red Dead Redemption,X360,Action,6.5,red-dead-redemption,Red Dead Redemption,"Action, Action Adventure, Shooter, Historic, Historic, Open-World, Third-Person, Historic",9.5,9.0,rockstar games,Rockstar San Diego,96,3054,18,2010,5,2010-05-18,2.0,Red Dead,0.4340375,1.0,1.0
God of War ,PC,Action,6.15,god-of-war,God of War,"Action Adventure, Linear",9.3,8.7,playstation studios,SCE Santa Monica,67,217,14,2022,1,2022-01-14,1.0,God of War,0.33041053960512823,0.0,1.0
God of War,PS2,Action,4.45,god-of-war,God of War,"Action Adventure, Fantasy",9.4,8.9,scea,SCE Santa Monica,75,2046,22,2005,3,2005-03-22,1.0,God of War,0.43513599999999986,0.0,1.0
Metal Gear Solid 2: Sons of Liberty,PS2,Action,6.05,metal-gear-solid-2-sons-of-liberty,Metal Gear Solid 2: Sons of Liberty,"Action Adventure, Modern",9.6,8.8,konami,KCEJ,42,1722,12,2001,11,2001-11-12,4.0,Metal Gear,0.4327357142857144,0.0,1.0
Metal Gear Solid 4: Guns of the Patriots,PS3,Action,6.0,metal-gear-solid-4-guns-of-the-patriots,Metal Gear Solid 4: Guns of the Patriots,"Action Adventure, Modern, General, Modern",9.4,8.8,konami,Kojima Productions,82,891,12,2008,6,2008-06-12,2.0,Metal Gear,0.5102735772357723,0.0,1.0
Uncharted: The Nathan Drake Collection,PS4,Action,5.7,uncharted-the-nathan-drake-collection,Uncharted: The Nathan Drake Collection,"Miscellaneous, Action Adventure, General, Compilation",8.6,8.6,scea,Bluepoint Games,78,3152,9,2015,10,2015-10-09,4.0,Uncharted,0.5594307692307691,0.0,1.0
LEGO Star Wars: The Complete Saga,Wii,Action,5.66,lego-star-wars-the-complete-saga,LEGO Star Wars: The Complete Saga,"Action, Miscellaneous, General, General, Compilation",8.0,8.7,lucasarts,Traveller's Tales,17,117,6,2007,11,2007-11-06,4.0,Star Wars,0.5413941176470587,1.0,1.0
LEGO Star Wars: The Complete Saga,DS,Action,4.77,lego-star-wars-the-complete-saga,LEGO Star Wars: The Complete Saga,"Action, Miscellaneous, Action Adventure, Sci-Fi, General, Compilation",8.0,6.5,lucasarts,TT Fusion,9,77,6,2007,11,2007-11-06,4.0,Star Wars,0.5785000000000001,1.0,1.0
LEGO Star Wars: The Complete Saga,X360,Action,2.59,lego-star-wars-the-complete-saga,LEGO Star Wars: The Complete Saga,"Action, Miscellaneous, General, General, Compilation",8.0,8.0,lucasarts,Traveller's Tales,24,233,6,2007,11,2007-11-06,4.0,Star Wars,0.5009083333333333,1.0,1.0
