,Name,multiplayer,singleplayer,awarded
2476,Time Crisis 4,1,1,0.0
2481,Ace Combat 3: Electrosphere,0,1,0.0
2482,Dynasty Warriors 2,0,1,0.0
2489,Dance Central 3,1,1,0.0
2494,Sly 3: Honor Among Thieves,1,1,0.0
2496,Sid Meier's Civilization Revolution,1,1,0.0
2500,Dragon Ball: Raging Blast 2,1,1,0.0
2501,MediEvil,0,1,0.0
2503,Deca Sports 2,0,1,0.0
2506,Tony Hawk's Underground 2 Remix,1,1,0.0
2509,Star Wars The Clone Wars: Republic Heroes,1,1,0.0
2510,DJ Hero 2,1,1,0.0
2511,Street Fighter V,1,1,0.0
2513,Clu Clu Land,1,1,0.0
2514,Killer Instinct Gold,1,1,0.0
2515,Amped: Freestyle Snowboarding,1,1,0.0
2516,Custer's Revenge,0,1,0.0
2517,MediEvil: Resurrection,1,1,0.0
2518,DmC: Devil May Cry,0,1,0.0
2519,Tales of the Abyss,1,1,0.0
2520,Rocket Power: Beach Bandits,1,1,0.0
2526,Shin Megami Tensei: Persona 4,0,1,1.0
2528,Shaun White Snowboarding,1,1,0.0
2533,Ready 2 Rumble Boxing: Round 2,1,1,0.0
2534,Kamaitachi no Yoru,0,1,0.0
2535,Patapon,0,1,0.0
2536,Tales of Destiny II,1,1,0.0
2537,Super Bomberman 2,1,1,0.0
2538,NASCAR 2001,1,1,0.0
2540,The Legend of Zelda: Four Swords Adventures,1,1,0.0
2542,Guitar Hero Live,1,1,0.0
2546,Army Men: Sarge's Heroes,1,1,0.0
2550,EarthBound,0,1,0.0
2552,Professor Layton vs Phoenix Wright: Ace Attorney,0,1,1.0
2558,Final Fantasy XI: Wings of the Goddess,1,0,1.0
2562,MadWorld,1,1,0.0
2566,Star Wars Rogue Squadron III: Rebel Strike,1,1,0.0
2568,Moto Racer,1,1,0.0
2569,Hitman: Contracts,0,1,0.0
2572,Aliens: Colonial Marines,1,1,0.0
2575,Sonic & SEGA All-Stars Racing with Banjo-Kazooie,1,1,0.0
2576,Goldeneye 007: Reloaded,1,1,0.0
2578,All Star Cheer Squad,1,1,0.0
2590,Mario & Sonic at the Sochi 2014 Olympic Winter Games,1,1,0.0
2591,Tales of Destiny 2,1,1,0.0
2598,The Walking Dead: Season One,0,1,1.0
2602,Final Fantasy Tactics A2: Grimoire of the Rift,0,1,0.0
2603,Harvest Moon: A Wonderful Life,0,1,0.0
2606,Motocross Mania,1,1,0.0
2610,Mega Man 5,0,1,0.0
2611,Star Ocean: The Last Hope,0,1,0.0
2612,Dance Dance Revolution SuperNOVA 2,1,1,0.0
2613,Armored Core 2,1,1,0.0
2616,Dead Island: Riptide,1,1,0.0
2617,Drawn to Life,1,1,1.0
2620,Too Human,1,1,0.0
2622,NCAA Football 08,1,1,0.0
2624,Personal Trainer: Walking,0,1,0.0
2626,PokePark 2: Wonders Beyond,1,1,0.0
2627,Professor Layton and the Azran Legacy,0,1,0.0
2628,Tom Clancy's Splinter Cell: Double Agent,1,1,1.0
2629,Yars' Revenge,0,1,0.0
2632,Metroid Prime Hunters,1,1,0.0
2633,The 7th Guest,0,1,1.0
2635,Buzz! The Hollywood Quiz,1,1,0.0
2637,My Little Pony: Pinkie Pie's Party,0,1,0.0
2638,We Sing,0,1,0.0
2639,Marvel vs. Capcom: Clash of Super Heroes,1,1,0.0
2640,God of War Saga,0,1,0.0
2642,Tetris Party Deluxe,0,1,0.0
2643,Pro Evolution Soccer 2016,1,1,1.0
2644,Worms: Open Warfare,1,1,0.0
2645,Star Wars Battlefront: Elite Squadron,1,1,0.0
2648,NBA 2K7,1,1,0.0
2651,Torneko no Daibouken: Fushigi no Dungeon,0,1,0.0
2654,Banjo-Kazooie: Nuts & Bolts,1,1,0.0
2655,NBA ShootOut 98,1,1,0.0
2659,Perfect Dark Zero,1,1,0.0
2660,Galaxian,1,1,0.0
2661,Andretti Racing,1,1,0.0
2667,Freedom Wars,1,1,0.0
2668,Marvel Nemesis: Rise of the Imperfects,1,1,0.0
2670,Need for Speed: Porsche Unleashed,1,1,0.0
2671,Dragon Ball: Raging Blast,1,1,0.0
2673,Conker's Bad Fur Day,1,1,1.0
2676,My Baby Girl,0,1,0.0
2678,Twisted Metal: Head On,1,1,0.0
2680,Maximo: Ghosts to Glory,0,1,0.0
2681,Pokemon Dash,1,1,0.0
2682,Donkey Kong Country 3,1,1,0.0
2683,All-Star Baseball 2003,1,1,0.0
2684,Unlimited Saga,0,1,0.0
2689,Raving Rabbids: Travel in Time,1,1,0.0
2692,Mercenaries: Playground of Destruction,0,1,0.0
2696,ISS Pro Evolution,1,1,0.0
2700,Super Monkey Ball: Touch & Roll,1,1,0.0
2701,Pro Evolution Soccer 2015,1,1,0.0
2702,Drawn to Life: The Next Chapter,1,1,0.0
2703,The Lord of the Rings: Conquest,0,1,0.0
2708,Syphon Filter: The Omega Strain,1,1,0.0
2711,Kane & Lynch: Dead Men,1,1,0.0
2714,Ace Attorney Investigations: Miles Edgeworth,0,1,0.0
2717,Marvel vs. Capcom 2: New Age of Heroes,1,1,0.0
2721,True Crime: New York City,0,1,0.0
2722,Legends of Wrestling,1,1,0.0
2725,Genji: Days of the Blade,0,1,0.0
2726,Harvest Moon: Animal Parade,0,1,0.0
2727,Final Fantasy Legend III,0,1,0.0
2728,Total War: Rome II,1,1,0.0
2729,Rare Replay,1,1,0.0
2730,Spectrobes,1,1,0.0
2734,Mega Man X5,0,1,0.0
2742,San Francisco Rush: Extreme Racing,1,1,0.0
2748,Coded Arms,1,1,0.0
2750,Tales of Vesperia,1,1,0.0
2753,Split/Second,1,1,0.0
2754,Capcom vs. SNK 2: Mark of the Millennium 2001,1,1,0.0
2755,MVP 06 NCAA Baseball,1,1,0.0
2757,Borderlands: The Pre-Sequel,1,1,0.0
2762,Ace Combat: Assault Horizon,1,1,0.0
2763,Jump Ultimate Stars,1,1,0.0
2765,Resonance of Fate,0,1,0.0
2770,Mortal Kombat: Unchained,1,1,0.0
2771,Mario & Luigi: Paper Jam,0,1,0.0
2777,Namco Museum Remix,1,1,0.0
2781,Tiger Woods PGA Tour 2001,1,1,0.0
2782,Indiana Jones and the Staff of Kings,1,1,0.0
2783,Jet Moto 3,1,1,0.0
2784,Naruto Shippuden: Ultimate Ninja Storm Generations,1,1,0.0
2785,Unreal Championship,1,1,0.0
2786,WarioWare: Twisted!,0,1,0.0
2789,Persona 4: Arena,1,1,1.0
2790,Sword of Mana,0,1,0.0
2791,Harvest Moon DS: Island of Happiness,0,1,0.0
2792,Star Ocean: The Last Hope International,0,1,0.0
2794,FIFA: Road to World Cup 98,1,1,0.0
2802,Kirby: Canvas Curse,0,1,0.0
2803,Croc 2,1,1,0.0
2805,Oddworld: Munch's Oddysee,0,1,0.0
2807,NHL 11,1,1,0.0
2813,Full Spectrum Warrior,1,1,0.0
2814,Katamari Damacy,1,1,0.0
2816,Ratchet & Clank Collection,1,1,0.0
2818,Shaun Palmer's Pro Snowboarder,1,1,0.0
2822,Style Savvy: Trendsetters,1,1,0.0
2824,XCOM: Enemy Unknown,1,1,1.0
2833,NBA Live 08,1,1,0.0
2835,Tiger Woods PGA Tour 07,1,1,0.0
2836,Test Drive 6,1,1,0.0
2839,Major League Baseball 2K7,1,1,0.0
2840,X-Men: Mutant Academy 2,1,1,0.0
2841,Terraria,1,1,0.0
2844,James Bond 007: Blood Stone,1,1,1.0
2847,Super Monkey Ball Jr.,1,1,0.0
2849,MLB 09: The Show,1,1,0.0
2851,Mobile Suit Gundam: Encounters in Space,1,1,0.0
2853,Fear Effect,0,1,0.0
2859,Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,1,1,0.0
2860,MLB 13: The Show,1,1,0.0
2864,Top Spin 4,0,1,0.0
2865,Resident Evil: Survivor,0,1,0.0
2866,Dynasty Warriors 6,1,1,0.0
2867,Super Trucks Racing,1,1,0.0
2868,Persona Q: Shadow of the Labyrinth,0,1,0.0
2870,Godzilla: Destroy All Monsters Melee,1,1,0.0
2871,Jeremy McGrath Supercross 2000,1,1,0.0
2873,Silent Hill 3,0,1,0.0
2875,Final Fantasy X/X-2 HD Remaster,0,1,0.0
2876,Yu-Gi-Oh! The Falsebound Kingdom,0,1,0.0
2877,LEGO Rock Band,1,1,0.0
2878,MLB 10: The Show,1,1,0.0
2885,Blast Corps,0,1,0.0
2887,Tactics Ogre: Let Us Cling Together,1,1,0.0
2888,"WarioWare, Inc.: Mega Party Game$",1,1,0.0
2890,Battle Arena Toshinden 2,1,1,0.0
2896,Doom 3: Resurrection of Evil,1,1,0.0
2897,NCAA Football 09,1,1,0.0
2898,NBA Live 09,1,1,0.0
2899,Ratchet & Clank: Into the Nexus,0,1,0.0
2903,NHL 12,1,1,0.0
2905,Infinite Undiscovery,0,1,0.0
2906,Super Bomberman 3,1,1,0.0
2908,The Sims 2: Apartment Pets,0,1,0.0
2909,Star Wars: Obi-Wan,1,1,0.0
2911,Kill.Switch,0,1,0.0
2917,Jade Empire,0,1,0.0
2921,Prince of Persia: The Forgotten Sands,0,1,0.0
2922,Chocobo's Dungeon 2,1,1,0.0
2923,Advance Wars,1,1,0.0
2925,World of Zoo,1,1,0.0
2926,Ape Escape: On the Loose,0,1,0.0
2928,IL-2 Sturmovik: Birds of Prey,1,1,0.0
2929,Book of Spells,0,1,0.0
2930,NCAA Football 2001,1,1,0.0
2932,Mobile Suit Gundam: Journey to Jaburo,0,1,0.0
2934,TimeSplitters 2,1,1,0.0
2936,MLB 08: The Show,1,1,0.0
2939,Disney's Chicken Little,1,1,0.0
2944,Metal Gear Solid: Portable Ops Plus,1,1,0.0
2947,Test Drive Unlimited 2,1,1,0.0
2948,Moto Racer 2,1,1,0.0
2949,Halo 2 Multiplayer Map Pack,1,1,0.0
2951,Mortal Kombat: Shaolin Monks,1,1,0.0
2954,Mario Pinball Land,0,1,0.0
2955,Mappy,1,1,0.0
2958,NFL Xtreme,1,1,0.0
2960,One Piece: Pirate Warriors 2,1,1,0.0
2963,Need for Speed: Shift 2 Unleashed,1,1,0.0
2966,MX vs. ATV Untamed,1,1,0.0
2967,The Last Remnant,0,1,0.0
2968,Frozen: Olaf's Quest,0,1,0.0
2970,Baldur's Gate: Dark Alliance II,0,1,0.0
2975,Star Wars: Masters of Teras Kasi,1,1,0.0
2976,The Last Story,1,1,0.0
2979,Disney Infinity 3.0,1,1,1.0
2982,Mortal Kombat Mythologies: Sub-Zero,0,1,0.0
2984,Naruto: Clash of Ninja,1,1,0.0
2985,Prince of Persia: The Two Thrones,0,1,0.0
2986,Hot Shots Golf: Open Tee 2,1,1,0.0
2987,Metro: Last Light,0,1,0.0
2988,Fossil Fighters: Champions,1,1,0.0
2990,Sniper Elite 3,1,1,0.0
2992,Bushido Blade 2,1,1,0.0
2993,Suikoden II,0,1,0.0
2998,Red Steel,1,1,0.0
3005,Midway Arcade Treasures 2,1,1,0.0
3007,Unreal Tournament III,1,1,0.0
3008,Final Fantasy Crystal Chronicles: Ring of Fates,1,1,0.0
3009,Return to Castle Wolfenstein: Tides of War,1,1,1.0
3011,Lollipop Chainsaw,0,1,0.0
3013,Street Sk8er,1,1,0.0
3015,Contra: Legacy of War,1,1,0.0
3022,Star Wars: Republic Commando,1,1,0.0
3023,Armored Core 3,1,1,0.0
3031,Wild ARMs 2,0,1,0.0
3037,Crafting Mama,1,1,0.0
3040,Command & Conquer: Red Alert 3,1,1,0.0
3045,Phoenix Wright: Ace Attorney - Trials and Tribulations,0,1,0.0
3046,NHL 13,1,1,0.0
3048,The Sims 3: High-End Loft Stuff,0,1,0.0
3051,Pro Pinball: Big Race USA,1,1,0.0
3055,Tony Hawk's Proving Ground,1,1,0.0
3056,MLB 2004,1,1,0.0
3058,Tiger Woods PGA Tour 2000,1,1,0.0
3059,Darkstone,1,1,1.0
3060,NCAA March Madness 2003,1,1,0.0
3062,Thrillville,1,1,0.0
3063,NHL 10,1,1,0.0
3067,Dragon Quest Monsters: Caravan Heart,0,1,0.0
3071,Street Fighter Anniversary Collection,1,1,0.0
3072,Legend of Legaia,0,1,0.0
3073,Napoleon: Total War,1,1,0.0
3074,Fist of the North Star: Ken's Rage,1,1,0.0
3075,Wario: Master of Disguise,0,1,0.0
3078,Tiger Woods PGA Tour 09,1,1,0.0
3079,Keystone Kapers,0,1,0.0
3081,New Play Control! Pikmin,0,1,0.0
3082,Shrek: Hassle at the Castle,0,1,0.0
3083,Suikoden IV,0,1,0.0
3084,Gods Eater Burst,0,1,0.0
3086,Um Jammer Lammy,1,1,0.0
3087,Brothers In Arms: Road to Hill 30,1,1,0.0
3100,Radiata Stories,0,1,0.0
3101,F-Zero GX,1,1,0.0
3104,Yoshi Topsy-Turvy,0,1,0.0
3106,Monster Jam: Maximum Destruction,1,1,0.0
3107,Real Heroes: Firefighter,0,1,1.0
3111,MLB 14: The Show,1,1,0.0
3113,Advance Wars 2: Black Hole Rising,1,1,0.0
3114,Fire Emblem: Shadow Dragon,1,1,0.0
3119,Champions: Return to Arms,1,1,0.0
3124,Disney Sing It: Party Hits,1,1,0.0
3125,Dead or Alive 5,1,1,0.0
3126,Star Ocean: First Departure,0,1,0.0
3129,The Black Eyed Peas Experience,1,1,0.0
3131,Sengoku Basara: Samurai Heroes,0,1,0.0
3135,Crash Bandicoot Purple: Ripto's Rampage,1,1,0.0
3137,Spyro: A Hero's Tail,0,1,0.0
3138,Crash of the Titans,1,1,0.0
3144,GoldenEye: Rogue Agent,1,1,0.0
3148,Rayman 3D,0,1,0.0
3151,X2: Wolverine's Revenge,0,1,0.0
3152,Stuntman: Ignition,0,1,0.0
3153,NBA Live 06,1,1,0.0
3158,Rayman 2: The Great Escape,0,1,0.0
3162,Onimusha: Dawn of Dreams,1,1,0.0
3163,NieR,0,1,0.0
3165,Sega Rally Revo,1,1,0.0
3167,Gravity Rush,0,1,0.0
3168,Konami Collector's Series: Arcade Advanced,1,1,0.0
3169,White Knight Chronicles II,0,1,0.0
3170,Wolfenstein,1,1,0.0
3172,LEGO Dimensions,1,1,1.0
3173,Start the Party!,1,1,0.0
3177,The Walking Dead: Survival Instinct,0,1,0.0
3178,Donkey Kong Barrel Blast,1,1,0.0
3179,Okami,0,1,1.0
3183,Red Steel 2,0,1,0.0
3184,X-Men Legends II: Rise of Apocalypse,1,1,0.0
3185,Nightmare Creatures,0,1,0.0
3186,SingStar Queen,1,1,0.0
3189,Juiced 2: Hot Import Nights,1,1,0.0
3190,Tony Hawk's Pro Skater 2x,1,1,0.0
3194,Monster Hunter 2,1,1,0.0
3195,NASCAR 06: Total Team Control,1,1,0.0
3204,Super Castlevania IV,0,1,0.0
3206,Angry Birds Trilogy,0,1,0.0
3207,Condemned 2: Bloodshot,1,1,0.0
3213,Ape Escape 2,0,1,0.0
3214,Metroid Prime: Trilogy,1,1,0.0
3217,Advance Wars: Days of Ruin,1,1,0.0
3222,Sonic & All-Stars Racing Transformed,1,1,1.0
3223,Shin Megami Tensei: Persona 3 FES,0,1,0.0
3224,FIFA Soccer 2002,1,1,0.0
3225,Shin Megami Tensei: Persona 3 Portable,0,1,0.0
3226,Final Fantasy VII International,0,1,1.0
3233,MySims Racing,1,1,0.0
3236,Nobunaga no Yabou: Haouden,1,0,0.0
3237,Virtua Cop,1,1,0.0
3238,Metal Gear Solid 2: Substance,0,1,1.0
3239,Tony Hawk's American Wasteland,1,1,0.0
3243,Wild ARMs 3,0,1,0.0
3244,NBA ShootOut '97,1,1,0.0
3245,Sacred 2: Fallen Angel,1,1,0.0
3253,Tak 2: The Staff of Dreams,0,1,0.0
3255,Warriors Orochi 3,1,1,0.0
3259,Beetle Adventure Racing!,1,1,0.0
3261,Disney's 102 Dalmatians: Puppies to the Rescue,0,1,0.0
3263,Strike Force Bowling,1,1,0.0
3267,Dragon Ball Z: Ultimate Tenkaichi,1,1,0.0
3269,Bass Landing,0,1,0.0
3271,Mario's Picross,0,1,0.0
3275,Bahamut Lagoon,0,1,0.0
3279,Dragon Quest Monsters: Joker 2 Professional,1,1,0.0
3280,NFL Quarterback Club 99,1,1,0.0
3283,Muramasa: The Demon Blade,0,1,0.0
3286,NHL 16,1,1,0.0
3288,NFL Fever 2003,1,1,0.0
3289,Samurai Warriors 2,1,1,0.0
3290,Dynasty Warriors 8,1,1,0.0
3291,Disney Sing It: Family Hits,1,1,0.0
3293,Robotech: Battlecry,1,1,0.0
3295,New Carnival Games,1,1,0.0
3300,Time Crisis 3,1,1,0.0
3304,New Play Control! Donkey Kong Jungle Beat,1,1,0.0
3306,Yakuza: Dead Souls,0,1,0.0
3309,Duke Nukem: Total Meltdown,1,1,0.0
3310,Pac-Man Party,0,1,0.0
3311,Jak and Daxter: The Lost Frontier,0,1,0.0
3312,Major League Baseball 2K8,1,1,0.0
3313,SimCity DS,1,1,0.0
3314,Major League Baseball 2K9,1,1,0.0
3317,Final Fantasy IV Advance,1,1,0.0
3319,Tomb Raider Chronicles,0,1,0.0
3323,Guitar Hero: Smash Hits,1,1,0.0
3324,Disney TH!NK Fast: The Ultimate Trivia Showdown,1,1,0.0
3325,Spider-Man: Mysterio's Menace,0,1,0.0
3331,Fighters Uncaged,0,1,0.0
3333,New Play Control! Pikmin 2,1,1,0.0
3335,Hot Shots Golf: World Invitational,1,1,0.0
3338,Wave Race: Blue Storm,1,1,0.0
3339,Backyard Wrestling: Don't Try This at Home,1,1,0.0
3347,WarioWare D.I.Y.,0,1,0.0
3350,Alice: Madness Returns,0,1,0.0
3352,Suikoden,0,1,0.0
3353,Secret Agent Clank,1,1,0.0
3354,Rayman Arena,1,1,0.0
3356,Jaws Unleashed,0,1,0.0
3357,Puyo Puyo Sun,1,1,0.0
3360,Mickey's Speedway USA,1,1,0.0
3361,International Superstar Soccer 64,1,1,0.0
3371,Scribblenauts: Unlimited,1,1,0.0
3379,The Fight: Lights Out,1,1,0.0
3381,Pokemon Trozei!,1,1,0.0
3383,Hot Wheels: Stunt Track Challenge,1,1,0.0
3391,CyberTiger,1,1,0.0
3394,Final Fantasy: The 4 Heroes of Light,1,1,0.0
3396,Kane & Lynch 2: Dog Days,1,1,0.0
3398,Total War: Shogun 2,1,1,0.0
3401,Yakuza 5,0,1,0.0
3404,Naruto: The Broken Bond,1,1,0.0
3412,Extreme-G,1,1,0.0
3414,Payday 2,1,1,0.0
3415,Dead or Alive Xtreme Beach Volleyball,1,1,0.0
3416,Tales of Rebirth,1,1,0.0
3419,Tales of Zestiria,1,1,0.0
3420,Silent Hill: Shattered Memories,0,1,0.0
3422,Skate it,1,1,0.0
3425,Lost: Via Domus,0,1,0.0
3426,Mega Man Anniversary Collection,0,1,0.0
3427,Final Fantasy Anniversary Edition,0,1,0.0
3432,Harvest Moon: Friends of Mineral Town,0,1,0.0
3435,Kirby's Dream Course,1,1,0.0
3436,Doom 3 BFG Edition,1,1,0.0
3437,Mega Man X7,1,1,0.0
3438,Top Spin 3,1,1,0.0
3440,SpongeBob SquarePants featuring Nicktoons: Globs of Doom,1,1,0.0
3441,The Conduit,1,1,1.0
3445,Cabela's Dangerous Hunts 2011,1,1,0.0
3446,NHL 15,1,1,0.0
3449,The Lord of the Rings: The Third Age,0,1,0.0
3452,The Legend of Spyro: Dawn of the Dragon,1,1,0.0
3454,Kinect Sports Rivals,1,1,0.0
3459,Tom Clancy's HAWX,1,1,0.0
3460,Sammy Sosa High Heat Baseball 2001,1,1,0.0
3464,Harvest Moon: The Tale of Two Towns,0,1,0.0
3465,FIFA: Road to  World Cup 98,1,1,0.0
3467,International Superstar Soccer '98,1,1,0.0
3468,NASCAR: Dirt to Daytona,1,1,0.0
3469,Unreal Tournament,1,1,1.0
3471,Tales of Phantasia,1,1,0.0
3474,Gex: Enter the Gecko,0,1,0.0
3477,JoJo's Bizarre Adventure: All Star Battle,1,1,0.0
3479,Contra: Shattered Soldier,1,1,0.0
3480,Championship Motocross featuring Ricky Carmichael,1,1,0.0
3484,Phoenix Wright: Ace Attorney - Justice for All,0,1,0.0
3485,Fire Emblem: Seisen no Keifu,0,1,0.0
3487,Disgaea 4: A Promise Unforgotten,0,1,0.0
3488,BlazBlue: Calamity Trigger,1,1,0.0
3489,Tenchu 2: Birth of the Stealth Assassins,0,1,0.0
3491,MLB 11: The Show,1,1,0.0
3493,NHL 06,1,1,0.0
3495,Rooms: The Main Building,0,1,0.0
3497,Parasite Eve II,0,1,0.0
3500,Ratchet & Clank: Quest for Booty,0,1,0.0
3504,Shin Megami Tensei IV,0,1,0.0
3506,Blacksite: Area 51,1,1,0.0
3508,ATV Offroad Fury: Blazin' Trails,1,1,0.0
3509,Far Cry Instincts,1,1,0.0
3517,Spyro Orange: The Cortex Conspiracy,1,1,0.0
3518,Enslaved: Odyssey to the West,0,1,0.0
3523,"Warhammer 40,000: Space Marine",1,1,0.0
3531,3D Dot Game Heroes,0,1,0.0
3532,The Mysterious Murasame Castle,0,1,0.0
3533,NBA Hangtime,1,1,0.0
3537,Blood Wake,1,1,0.0
3538,Dynasty Warriors 5: Xtreme Legends,1,1,0.0
3544,Super Bomberman,1,1,0.0
3546,Spec Ops: The Line,1,1,1.0
3548,Bratz 4 Real,0,1,1.0
3549,RalliSport Challenge,1,1,0.0
3550,Resident Evil Outbreak File #2,1,1,0.0
3553,NHL 14,1,1,0.0
3559,Breath of Fire IV,0,1,0.0
3561,Odin Sphere,0,1,1.0
3562,Donkey Kong Jungle Climber,1,1,0.0
3564,Ms. Pac-Man Maze Madness,1,1,0.0
3567,NHL Hitz 20-02,1,1,0.0
3568,Classic NES Series: Dr. Mario,1,1,0.0
3570,NCAA March Madness 07,1,1,0.0
3571,"Monsters, Inc. Scream Team",0,1,0.0
3574,Yu-Gi-Oh! World Championship Tournament 2004,1,1,0.0
3575,Cabela's Big Game Hunter 2005 Adventures,1,1,0.0
3576,Hotel Dusk: Room 215,0,1,0.0
3581,Battlefield 2: Modern Combat,1,1,0.0
3583,All-Star Baseball 2002,1,1,0.0
3586,NASCAR Rumble,1,1,0.0
3587,Tony Hawk: Shred,1,1,0.0
3589,WWE Raw 2,1,1,0.0
3591,Mega Man X2,0,1,0.0
3592,Manhunt 2,1,1,0.0
3594,Fullmetal Alchemist and the Broken Angel,0,1,0.0
3596,Final Fantasy IV: The Complete Collection,0,1,0.0
3597,Frontlines: Fuel of War,1,1,0.0
3598,Lips: Number One Hits,0,1,0.0
3599,Hamtaro: Ham-Hams Unite!,0,1,0.0
3601,Viva Pinata: Pocket Paradise,0,1,0.0
3605,Blinx: The Time Sweeper,0,1,0.0
3607,Archer Maclean's Mercury,0,1,0.0
3609,Fatal Fury Special,1,1,0.0
3619,Rune Factory: A Fantasy Harvest Moon,0,1,0.0
3620,Monster Jam: Path of Destruction,1,1,0.0
3622,MX 2002 Featuring Ricky Carmichael,1,1,0.0
3623,Purr Pals,1,1,0.0
3625,God of War: Origins Collection,0,1,0.0
3627,Lunar: Silver Star Story Complete,0,1,0.0
3629,NBA Showtime: NBA on NBC,1,1,0.0
3632,Soul Reaver 2,0,1,0.0
3633,Metal Gear Solid 3: Subsistence,0,1,1.0
3634,Sly Cooper: Thieves in Time,1,1,0.0
3636,Daytona USA,1,1,0.0
3638,Tiger Woods PGA Tour 13,1,1,0.0
3641,Jump Super Stars,1,1,0.0
3642,Legends of WrestleMania,1,1,0.0
3643,The Activision Decathlon,0,1,0.0
3646,Fighting Force 2,0,1,0.0
3650,Batman: Vengeance,0,1,0.0
3651,Unit 13,1,1,0.0
3652,Tatsunoko vs. Capcom: Ultimate All-Stars,1,1,0.0
3659,Barbie Horse Adventures: Riding Camp,0,1,0.0
3660,CrossworDS,0,1,1.0
3670,Time Crisis: Razing Storm,1,1,0.0
3674,Rune Factory 4,0,1,0.0
3675,Summer Sports: Paradise Island,1,1,0.0
3677,Dynasty Warriors: Gundam 3,1,1,0.0
3680,Jak X: Combat Racing,1,1,0.0
3684,Top Gun: Fire at Will!,0,1,0.0
3691,NBA Live 10,1,1,0.0
3696,Excite Truck,1,1,0.0
3701,Crash Tag Team Racing,1,1,0.0
3702,Two Worlds II,1,1,0.0
3705,Front Mission 4,0,1,0.0
3711,Resident Evil: Revelations 2,1,1,0.0
3718,FIFA 99,1,1,0.0
3722,Bust A Groove,1,1,0.0
3723,Fire Emblem: Path of Radiance,0,1,0.0
3728,Valkyria Chronicles II,1,1,0.0
3731,Rune Factory 2: A Fantasy Harvest Moon,0,1,0.0
3738,Greg Hastings' Tournament Paintball,1,0,0.0
3740,Star Fox Command,1,1,0.0
3745,Mat Hoffman's Pro BMX,1,1,0.0
3746,Lego Star Wars: The Force Awakens,1,1,1.0
3749,Magician's Quest: Mysterious Times,1,1,0.0
3752,Tales of Symphonia: Dawn of the New World,1,1,0.0
3754,The Incredible Hulk: Ultimate Destruction,0,1,0.0
3758,Time Crisis II,1,1,0.0
3760,NCAA March Madness 06,1,1,0.0
3763,Dragon's Crown,1,1,0.0
3765,Legacy of Kain: Defiance,0,1,0.0
3767,NCAA March Madness 2005,1,1,0.0
3768,007 Racing,1,1,0.0
3769,Conflict: Vietnam,1,1,0.0
3771,Mystery Dungeon: Shiren the Wanderer,0,1,0.0
3772,SimAnimals,1,1,0.0
3774,Gex 3: Deep Cover Gecko,0,1,0.0
3775,NASCAR 09,1,1,0.0
3780,Virtual Soccer,1,1,0.0
3781,Romance of the Three Kingdoms IV: Wall of Fire,1,1,0.0
3784,SingStar Dance,1,1,0.0
3785,Kirby and the Rainbow Curse,1,1,0.0
3788,Medal of Honor: European Assault,1,1,0.0
3790,Ty the Tasmanian Tiger 2: Bush Rescue,0,1,0.0
3792,NBA 06,1,1,0.0
3795,We Cheer,1,1,0.0
3800,Front Mission 2,0,1,0.0
3802,F.E.A.R. 2: Project Origin,1,1,0.0
3811,Batman: Arkham Origins Blackgate,0,1,0.0
3815,Picross 3D,0,1,0.0
3817,Silent Hill: Origins,0,1,0.0
3819,Wayne Gretzky's 3D Hockey,1,1,0.0
3821,Return to Castle Wolfenstein: Operation Resurrection,1,1,1.0
3822,Mario Tennis: Power Tour,1,1,0.0
3826,GT Pro Series,1,1,0.0
3828,Spectrobes: Beyond the Portals,1,1,0.0
3833,Final Fantasy Chronicles,1,1,0.0
3835,Syphon Filter 3,1,1,0.0
3838,We Love Katamari,1,1,0.0
3840,Way of the Samurai 3,0,1,0.0
3842,DC Universe Online,1,0,0.0
3844,Mega Man 6,0,1,0.0
3846,Final Fantasy Explorers,1,1,0.0
3847,Rival Schools: United By Fate,1,1,0.0
3854,Swing Away Golf,1,1,0.0
3856,Tomb Raider: Legend,1,1,1.0
3864,Front Mission 3,0,1,0.0
3866,SSX On Tour,1,1,1.0
3870,Omega Boost,0,1,0.0
3877,Way of the Samurai,1,1,0.0
3880,Fishing Derby,0,1,0.0
3883,The 3rd Birthday,0,1,0.0
3888,StarCraft II: Legacy of the Void,1,1,1.0
3890,SoulCalibur: Broken Destiny,1,1,0.0
3891,The Saboteur,0,1,0.0
3892,Lords of the Fallen,0,1,0.0
3895,Jam With the Band,1,1,0.0
3901,Sega Bass Fishing,0,1,0.0
3902,Fire Emblem: Radiant Dawn,0,1,0.0
3904,"SpongeBob SquarePants: Lights, Camera, Pants!",1,1,0.0
3906,Rugrats: Scavenger Hunt,1,1,0.0
3909,Major League Baseball 2K10,1,1,0.0
3912,SpongeBob SquarePants: Creature from the Krusty Krab,0,1,0.0
3918,Ace Combat Zero: The Belkan War,1,1,0.0
3919,R.U.S.E.,1,1,0.0
3920,Disgaea 3: Absence of Justice,0,1,0.0
3921,Test Drive Unlimited,1,1,0.0
3923,Picross DS,1,1,0.0
3924,Final Fantasy II Anniversary Edition,0,1,0.0
3925,NHL 07,1,1,0.0
3927,Quantum Break,0,1,1.0
3930,The BIGS,1,1,0.0
3933,Rory McIlroy PGA Tour,1,1,0.0
