,Name,multiplayer,singleplayer,awarded
205,Spyro the Dragon,0,1,0.0
206,Link's Crossbow Training,1,1,0.0
207,Guitar Hero III: Legends of Rock,1,1,0.0
208,Fallout 3,0,1,1.0
210,Uncharted: Drake's Fortune,0,1,1.0
211,Madden NFL 06,1,1,1.0
213,Diddy Kong Racing,1,1,0.0
214,Monster Hunter Freedom 3,1,1,0.0
216,God of War III,0,1,1.0
217,StarCraft II: Wings of Liberty,1,1,0.0
220,Crash Team Racing,1,1,0.0
221,FIFA 17,1,1,0.0
223,Driver 2,1,1,0.0
224,The Simpsons: Hit & Run,1,1,0.0
225,Tony Hawk's Pro Skater 2,1,1,1.0
226,Animal Crossing: City Folk,1,1,0.0
228,Forza Motorsport 4,1,1,0.0
231,The Legend of Zelda: A Link to the Past,0,1,0.0
232,The Legend of Zelda: The Wind Waker,1,1,0.0
233,Mario & Sonic at the Olympic Winter Games,1,1,0.0
234,Luigi's Mansion: Dark Moon,1,1,0.0
235,Splatoon,1,1,0.0
238,Madden NFL 2005,1,1,0.0
239,Pitfall!,0,1,0.0
240,Madden NFL 07,1,1,1.0
241,Spider-Man: The Movie,0,1,0.0
242,Dragon Quest VII: Warriors of Eden,0,1,0.0
243,Uncharted: The Nathan Drake Collection,0,1,0.0
246,Nintendo Land,1,1,0.0
247,Michael Jackson: The Experience,1,1,0.0
248,Tony Hawk's Pro Skater 3,1,1,1.0
249,Winning Eleven: Pro Evolution Soccer 2007,1,1,0.0
250,The Elder Scrolls IV: Oblivion,0,1,0.0
251,Zelda II: The Adventure of Link,0,1,0.0
253,Resistance: Fall of Man,1,1,0.0
254,Sonic the Hedgehog,1,0,0.0
255,Kingdom Hearts II,0,1,0.0
259,Fable II,1,1,1.0
260,Halo 5: Guardians,1,1,1.0
261,Super Mario 3D World,1,1,1.0
262,Batman: Arkham Asylum,0,1,1.0
263,Assassin's Creed: Revelations,1,1,0.0
264,Namco Museum,1,1,0.0
265,Metal Gear Solid 3: Snake Eater,0,1,1.0
267,Warcraft II: Tides of Darkness,1,1,0.0
269,FIFA Soccer 06,1,1,0.0
271,Uncharted 4: A Thief's End,1,1,1.0
272,Gran Turismo 5 Prologue,1,1,0.0
274,Street Fighter IV,1,1,0.0
277,Excitebike,1,1,0.0
278,Frogger,0,1,0.0
279,Madden NFL 2003,1,1,0.0
282,Super Mario World 2: Yoshi's Island,0,1,0.0
283,FIFA Soccer 07,1,1,0.0
284,The Legend of Zelda: Skyward Sword,0,1,1.0
285,Street Fighter II Turbo,1,1,1.0
286,Carnival Games,1,1,0.0
288,World of Warcraft: The Burning Crusade,1,0,0.0
289,Fallout: New Vegas,0,1,0.0
290,God of War II,1,1,1.0
291,Forza Motorsport 2,1,1,0.0
292,World Soccer Winning Eleven 9,1,1,0.0
294,Tekken Tag Tournament,1,1,0.0
295,Far Cry 4,1,1,1.0
296,Star Fox 64,1,1,0.0
300,Professor Layton and the Diabolical Box,0,1,0.0
301,Left 4 Dead 2,1,1,0.0
302,Namco Museum: 50th Anniversary,1,1,0.0
304,Assassin's Creed: Unity,1,1,0.0
305,Donkey Kong Land,0,1,1.0
306,Tony Hawk's Underground,1,1,0.0
307,Assassin's Creed IV: Black Flag,1,1,1.0
308,Monster Hunter 4 Ultimate,1,1,1.0
311,Tekken 5,1,1,0.0
312,Dragon Warrior III,0,1,0.0
313,Sports Champions,1,1,0.0
314,NBA 2K16,1,1,0.0
315,World Soccer Winning Eleven 8 International,1,1,0.0
316,Flash Focus: Vision Training in Minutes a Day,0,1,0.0
318,The Legend of Zelda: Link's Awakening,0,1,1.0
319,Mario & Luigi: Bowser's Inside Story,0,1,0.0
320,Big Brain Academy: Wii Degree,1,1,0.0
322,Batman: Arkham Knight,0,1,1.0
323,Mario & Sonic at the London 2012 Olympic Games,1,1,0.0
324,LEGO Indiana Jones: The Original Adventures,1,1,0.0
326,Ratchet & Clank: Size Matters,1,1,0.0
327,Just Dance 2014,0,1,0.0
328,The Sims: Unleashed,0,1,0.0
329,Super Paper Mario,0,1,1.0
331,The Witcher 3: Wild Hunt,0,1,1.0
332,Resident Evil 3: Nemesis,0,1,0.0
333,Spyro: Year of the Dragon,0,1,0.0
334,FIFA Soccer 2005,1,1,0.0
336,Battlefield 4,1,1,1.0
337,MySims,1,1,0.0
338,Friend Collection,0,1,0.0
339,Tony Hawk's Pro Skater 4,1,1,0.0
340,Midnight Club 3: DUB Edition,1,1,0.0
343,Guitar Hero: World Tour,1,1,1.0
344,Gran Turismo 6,1,1,0.0
345,Jak and Daxter: The Precursor Legacy,0,1,0.0
346,Pokemon Snap,0,1,0.0
347,FIFA Soccer 10,1,1,0.0
348,Pro Evolution Soccer 2008,1,1,0.0
350,Resident Evil 4,0,1,1.0
351,Tom Clancy's The Division,1,0,0.0
352,Star Wars: Battlefront,1,1,0.0
353,Doom II: Hell on Earth,1,1,1.0
354,The Simpsons: Road Rage,1,1,0.0
356,Luigi's Mansion,1,1,0.0
359,Croc: Legend of the Gobbos,0,1,0.0
362,Tomb Raider III: Adventures of Lara Croft,0,1,0.0
363,James Bond 007: Agent Under Fire,1,1,0.0
364,LEGO Star Wars: The Video Game,1,1,0.0
368,Spyro 2: Ripto's Rage!,0,1,0.0
369,Left 4 Dead,1,1,1.0
372,Donkey Kong Country 3: Dixie Kong's Double Trouble!,1,1,0.0
373,Assassin's Creed: Brotherhood,1,1,0.0
376,Clubhouse Games,1,1,0.0
377,FIFA Soccer 2004,1,1,0.0
379,Battlefield: Bad Company 2,1,1,0.0
380,Guitar Hero: On Tour,0,1,0.0
382,Far Cry 3,1,1,1.0
383,Monster Hunter 4,1,1,1.0
385,Tekken 4,1,1,0.0
387,LittleBigPlanet 2,1,1,1.0
388,Grand Theft Auto 2,1,1,0.0
389,Final Fantasy III,1,1,0.0
391,F-1 Race,1,1,0.0
392,FIFA Soccer 2003,1,1,0.0
393,Crash Bash,1,1,0.0
394,LEGO Batman: The Videogame,1,1,0.0
395,Metal Gear Solid V: The Phantom Pain,1,1,1.0
396,The Legend of Zelda: Spirit Tracks,1,1,1.0
397,WWF War Zone,1,1,0.0
398,The Legend of Zelda: Majora's Mask,0,1,0.0
399,Professor Layton and the Unwound Future,0,1,0.0
403,James Bond 007: Nightfire,1,1,0.0
405,Mario Party 9,1,1,0.0
409,Assassin's Creed Syndicate,1,1,1.0
411,True Crime: Streets of LA,0,1,0.0
412,Wii Music,1,1,0.0
413,Gran Turismo (PSP),1,1,0.0
414,Monster Hunter X,1,1,1.0
417,L.A. Noire,0,1,1.0
418,Madden NFL 16,1,1,0.0
423,WWF SmackDown! 2: Know Your Role,1,1,0.0
424,Crisis Core: Final Fantasy VII,0,1,0.0
425,God of War: Chains of Olympus,0,1,1.0
426,Dragon Quest VI: Maboroshi no Daichi,0,1,0.0
428,Enter the Matrix,1,1,0.0
429,Super Mario Maker,0,1,1.0
432,Rhythm Heaven,0,1,0.0
433,Ace Combat 04: Shattered Skies,1,1,0.0
434,Club Penguin: Elite Penguin Force,1,1,0.0
437,Sonic Rush,1,1,0.0
438,Resident Evil 6,1,1,0.0
439,Halo: The Master Chief Collection,1,1,0.0
440,FIFA Soccer 08,1,1,1.0
442,Need for Speed III: Hot Pursuit,1,1,0.0
443,Star Wars Episode I Racer,1,1,0.0
444,Personal Trainer: Cooking,0,1,0.0
446,Dragon Warrior IV,0,1,0.0
447,Heavy Rain,0,1,0.0
448,Mass Effect 2,1,1,1.0
451,Madden NFL 2002,1,1,0.0
452,World Class Track Meet,1,1,0.0
453,Borderlands 2,1,1,1.0
454,The Legend of Zelda: A Link Between Worlds,0,1,1.0
456,The Sims: Vacation,0,1,0.0
457,Mass Effect 3,1,1,1.0
460,Epic Mickey,0,1,0.0
461,Saints Row 2,1,1,0.0
463,Killzone 2,1,1,0.0
464,Tom Clancy's Splinter Cell,0,1,0.0
465,Mike Tyson's Punch-Out!!,0,1,0.0
466,WWE SmackDown! Shut Your Mouth,1,1,0.0
467,Gears of War: Ultimate Edition,1,1,0.0
468,NBA 2K13,1,1,0.0
471,Middle-Earth: Shadow of Mordor,0,1,1.0
472,Star Fox,1,0,0.0
476,Animal Crossing: Happy Home Designer,0,1,0.0
478,The Sims 4,0,1,0.0
479,Star Wars: The Old Republic,1,0,0.0
480,Sonic Heroes,1,1,0.0
481,Kirby Super Star Ultra,1,1,0.0
482,Hitman 2: Silent Assassin,0,1,0.0
484,Wave Race 64,1,1,0.0
485,SOCOM II: U.S. Navy SEALs,1,1,0.0
486,WWE SmackDown! vs. RAW 2006,1,1,0.0
487,inFAMOUS,0,1,0.0
488,Pac-Man Collection,0,1,0.0
490,WarioWare: Smooth Moves,1,1,0.0
491,Cooking Mama: Cook Off,1,1,0.0
495,Sonic Mega Collection Plus,1,1,0.0
497,World Soccer Winning Eleven 7 International,1,1,0.0
499,Hot Shots Golf 3,1,1,0.0
500,Call of Duty: Finest Hour,1,1,0.0
501,Zumba Fitness 2,1,1,0.0
506,Madden NFL 13,1,1,0.0
507,The Elder Scrolls III: Morrowind,0,1,1.0
510,Yoshi's Story,0,1,0.0
511,Command & Conquer: Red Alert,1,1,0.0
512,Skylanders: Spyro's Adventure,1,1,0.0
515,BioShock,0,1,1.0
516,Madden NFL 10,0,1,0.0
518,WWE SmackDown! vs. Raw,1,1,1.0
519,Metroid Prime,0,1,0.0
521,Myst,0,1,0.0
524,WWE SmackDown! Here Comes the Pain,1,1,1.0
525,Star Wars: The Force Unleashed,1,1,0.0
526,Yoshi's Island DS,0,1,0.0
527,Hot Shots Golf,1,1,0.0
528,Killzone 3,1,1,0.0
530,WWF SmackDown! Just Bring It,1,1,0.0
534,NBA Street,1,1,0.0
535,Professor Layton and the Last Specter,0,1,0.0
536,Monster Hunter Tri,1,1,0.0
537,Jak II,0,1,1.0
539,Ratchet & Clank: Going Commando,0,1,0.0
540,Tekken 6,1,1,0.0
542,Sonic and the Secret Rings,1,1,0.0
543,Saints Row: The Third,1,1,0.0
545,Mario Paint,0,1,0.0
547,Pokémon Stadium 2,1,1,0.0
548,Metroid,1,0,0.0
550,Call of Duty 3,1,1,0.0
552,Onimusha: Warlords,0,1,0.0
553,Mortal Kombat X,1,1,1.0
554,Mario Party,0,1,0.0
555,Madden NFL 12,1,1,0.0
556,LEGO Star Wars II: The Original Trilogy,1,1,1.0
557,Madden NFL 11,1,1,0.0
558,Mario vs. Donkey Kong: Mini-Land Mayhem!,0,1,0.0
559,Skate 3,1,1,0.0
560,Burnout 3: Takedown,1,1,1.0
562,Need for Speed: Shift,1,1,0.0
563,Final Fantasy XIII-2,0,1,0.0
571,Skylanders Giants,1,1,0.0
572,Medal of Honor Heroes,1,1,0.0
573,Super Mario Bros.: The Lost Levels,0,1,0.0
576,Midnight Club: Street Racing,1,1,0.0
577,Pac-Man: Adventures in Time,1,1,0.0
578,Halo Wars,1,1,0.0
579,God of War Collection,0,1,0.0
580,ESPN NFL 2K5,1,1,1.0
581,Mario Strikers Charged,1,1,0.0
584,NBA 2K12,1,1,0.0
589,FIFA Soccer 09,1,1,0.0
590,Ratchet & Clank Future: Tools of Destruction,0,1,1.0
591,NBA Live 2005,1,1,0.0
593,Killzone: Shadow Fall,1,1,0.0
595,Monster Hunter Freedom 2,1,1,0.0
596,WWE SmackDown vs. RAW 2007,1,1,0.0
597,Ratchet & Clank: Up Your Arsenal,1,1,0.0
599,Dragon Age: Origins,1,1,1.0
600,Madden NFL 08,1,1,0.0
601,Sonic Adventure 2 Battle,1,1,1.0
602,Dragon Warrior II,0,1,0.0
604,Pokémon Colosseum,1,1,0.0
605,Deca Sports,1,1,0.0
606,Madden NFL 09,1,1,0.0
607,Space Invaders,0,1,0.0
609,Perfect Dark,1,1,0.0
610,Game Party,1,1,0.0
612,Tomb Raider (2013),1,1,1.0
613,Marvel: Ultimate Alliance,1,1,0.0
615,Mario Party 2,1,1,0.0
618,LEGO Harry Potter: Years 1-4,1,1,0.0
619,Mortal Kombat: Deadly Alliance,1,1,0.0
620,Resistance 2,1,1,0.0
622,Tomb Raider: The Last Revelation,0,1,0.0
625,NBA 2K14,1,1,0.0
626,Mario Party 4,1,1,0.0
628,Midnight Club: Los Angeles,1,1,0.0
629,Final Fantasy V,1,1,0.0
630,Final Fantasy Tactics,1,1,0.0
631,Twisted Metal 2,1,1,0.0
632,Halo: Combat Evolved Anniversary,1,1,0.0
633,Need for Speed Carbon: Own the City,1,1,0.0
634,The Sims: Bustin' Out,1,1,0.0
635,Riven: The Sequel to Myst,0,1,0.0
636,Tom Clancy's Rainbow Six: Vegas 2,1,1,0.0
637,Sonic Adventure,1,1,0.0
640,Dragon Ball Z: Budokai 2,1,1,0.0
641,ATV Offroad Fury,1,1,0.0
644,Need for Speed: ProStreet,1,1,0.0
646,Tetris Plus,0,1,0.0
648,Theme Hospital,1,1,0.0
650,Need for Speed (2015),1,1,0.0
654,Batman: Arkham Origins,1,1,0.0
655,Dead Island,1,1,0.0
658,Kinect: Disneyland Adventures,1,1,0.0
659,WCW/nWo Revenge,1,1,0.0
660,Bloodborne,1,1,1.0
661,NBA 2K15,1,1,0.0
663,Yu-Gi-Oh! The Duelists of the Roses,1,0,0.0
665,Half-Life 2,0,1,1.0
667,Tony Hawk's Underground 2,1,1,0.0
669,Kinect Sports: Season Two,1,1,0.0
670,Kirby's Dream Land 2,0,1,0.0
673,Dragon Warrior Monsters,1,1,0.0
676,WWE SmackDown vs Raw 2008,1,1,0.0
677,My Fitness Coach,0,1,0.0
678,Resident Evil - Code: Veronica X,0,1,0.0
680,The Legend of Zelda: Majora's Mask 3D,0,1,0.0
683,Mario Tennis,1,1,0.0
