ES_Name,Name,Release_date,platform,Analyst_Score,Community_score,N_com_votes
FIFA Street,Fifa Street 2012,15/3/2012,PS2,8,7.34,47
FIFA Street,Fifa Street 2012,15/3/2012,GCN,,7,11
FIFA Street,Fifa Street 2012,15/3/2012,XBOX,,7.44,9
Doom 3: Resurrection of Evil,Doom 3: Resurrection of Evil,8/4/2005,PC,8,7.64,21
Conker: Live and Reloaded,Conker: Live and Uncut,24/6/2005,XBOX,8,8.91,77
Still Life,Still Life,Junio 2005,XBOX,,7.5,2
Still Life,Still Life,Junio 2005,PC,8,7.31,8
Glimmerati,Glimmerati,5/7/2005,NG,8,7.57,3
MediEvil Resurrection,MediEvil Resurrección,1/9/2005,PSP,8,7.9,50
Tiger Woods PGA Tour 06,Tiger Woods PGA Tour 06,21/9/2005,PS2,8,5,1
Tiger Woods PGA Tour 06,Tiger Woods PGA Tour 06,21/9/2005,PC,,8,1
TrackMania Sunrise,TrackMania Sunrise,21/9/2005,PC,8,7.34,9
Sniper Elite - Berlin 1945,Sniper Elite - Berlin 1945,29/9/2005,PS2,8,7.95,14
Sniper Elite - Berlin 1945,Sniper Elite - Berlin 1945,29/9/2005,XBOX,,8,1
Sniper Elite - Berlin 1945,Sniper Elite - Berlin 1945,29/9/2005,PC,,7.46,4
Spartan: Total Warrior,Spartan: Total Warrior,7/10/2005,PS2,8,7.88,18
Spartan: Total Warrior,Spartan: Total Warrior,7/10/2005,GCN,,7.3,14
Spartan: Total Warrior,Spartan: Total Warrior,7/10/2005,XBOX,,10,3
Pokémon Esmeralda,Pokemon Esmeralda,27/10/2005,GBA,8,8.62,131
The Suffering Ties that Bind,The Suffering 2,28/10/2005,PS2,8,7.42,6
The Suffering Ties that Bind,The Suffering 2,28/10/2005,XBOX,,10,1
The Suffering Los Lazos que Nos Unen,The Suffering 2,Octubre 2005,PC,8,-,Sin
Codename Panzers: Phase Two,Codename Panzers: Phase Two,30/11/2005,PC,8,6.8,9
Blitzkrieg 2,Blitzkrieg II,9/12/2005,PC,8,8,2
1944: Battle of the Bulge,1944: Battle of the Bulge,15/4/2005,PC,7.9,-,Sin
Medal of Honor European Assault,Medal of Honor: Dogs of War,22/6/2005,GCN,,7.74,4
Medal of Honor European Assault,Medal of Honor: Dogs of War,22/6/2005,XBOX,7.9,7.12,6
Darkstalkers Chronicle: The Chaos Tower,Darkstalkers Chronicle: The Chaos Tower,8/9/2005,PSP,7.9,7.45,21
Total Overdose,Total Overdose,16/9/2005,PS2,7.9,7.13,10
Total Overdose,Total Overdose,16/9/2005,XBOX,,-,Sin
Total Overdose,Total Overdose,16/9/2005,PC,,-,Sin
Ultimate Spider-Man,Ultimate Spider-Man,14/10/2005,PS2,7.9,7.32,19
Ultimate Spider-Man,Ultimate Spider-Man,14/10/2005,GCN,,7.12,11
Ultimate Spider-Man,Ultimate Spider-Man,14/10/2005,XBOX,,8.5,2
Quake 4,Quake 4,2/12/2005,X360,7.9,7.54,35
City Of Villains,City Of Villains,Año 2005,PC,7.9,9,2
Cold Fear,Cold Fear,Marzo 2005,PS2,7.8,7.79,39
Cold Fear,Cold Fear,Marzo 2005,XBOX,,10,2
Enthusia,Enthusia Professional Racing,8/5/2005,PS2,7.8,7.04,9
Area 51,Area 51,23/5/2005,PS2,7.8,7.83,19
Area 51,Area 51,23/5/2005,XBOX,,9.16,3
Singles 2: ¿Tres son Multitud?,Singles 2: Triple Trouble,24/5/2005,PC,7.8,7,2
RollerCoaster Tycoon 3: ¡Empapados!,RollerCoaster Tycoon 3: Soaked!,24/6/2005,PC,7.8,7.6,10
Worms 4: Mayhem,Worms 4: Mayhem,29/7/2005,PS2,7.8,8.16,11
Worms 4: Mayhem,Worms 4: Mayhem,29/7/2005,XBOX,,-,Sin
Worms 4: Mayhem,Worms 4: Mayhem,29/7/2005,PC,,5.28,5
Port Royale 2,Port Royale 2,Julio 2005,PC,7.8,8,2
King Kong,Peter Jackson's King Kong: The Official Game of the Movie,22/11/2005,X360,7.8,6.59,15
James Bond: Desde Rusia con Amor,007: From Russia with Love,23/11/2005,PS2,7.8,5.57,11
James Bond: Desde Rusia con Amor,007: From Russia with Love,23/11/2005,GCN,,8.16,3
James Bond: Desde Rusia con Amor,007: From Russia with Love,23/11/2005,XBOX,,-,Sin
King of Fighters: Maximum Impact,The King of Fighters: Maximum Impact,14/2/2005,PS2,7.7,7.29,13
Kessen 3,Kessen III,27/4/2005,PS2,7.7,7.06,6
Donkey Kong Country 3 CV,Donkey Kong Country 3 CV,25/12/2007,GBA,7.7,8.48,21
Gun,Gun,11/11/2005,PC,7.7,8.05,9
Gun,Gun,11/11/2005,PS2,7.7,7.61,33
Gun,Gun,11/11/2005,XBOX,,7,3
Lego Star Wars,Lego Star Wars,22/4/2005,PS2,7.6,7.53,23
Lego Star Wars,Lego Star Wars,22/4/2005,PC,,7.54,14
Super Monkey Ball Deluxe,Super Monkey Ball Deluxe,29/8/2005,PS2,7.6,6.18,4
Super Monkey Ball Deluxe,Super Monkey Ball Deluxe,29/8/2005,XBOX,,9.69,4
Untold Legends: Brotherhood of the Blade,Untold Legends: Brotherhood of the Blade,1/9/2005,PSP,7.6,7.25,14
Mortal Kombat: Shaolin Monks,Mortal Kombat: Shaolin Monks,Septiembre 2005,PS2,7.6,8,14
Mortal Kombat: Shaolin Monks,Mortal Kombat: Shaolin Monks,Septiembre 2005,XBOX,,6.06,10
Pac'n Roll,Pac'n Roll,3/11/2005,NDS,7.6,6.5,3
Jak X,Jak X: Combat Racing,9/11/2005,PS2,7.6,7.62,19
The Punisher,The Punisher,25/2/2005,PS2,7.5,7.2,6
The Punisher,The Punisher,25/2/2005,XBOX,,8.18,2
Mario Party 6,Mario Party 6,18/3/2005,GCN,7.5,7.86,44
Stronghold 2,Stronghold 2,22/4/2005,PC,7.5,7.75,4
Haunting Ground,Demento,29/4/2005,PS2,7.5,7.68,43
Formula One 2005,Formula One 2005,29/6/2005,PS2,7.5,6.87,53
Northland,Northland,1/7/2005,PC,7.5,7,1
Metal Gear Acid,Metal Gear Acid,1/9/2005,PSP,7.5,7.48,53
Mercury,Mercury,8/9/2005,PSP,7.5,7.76,12
Tiger Woods PGA Tour,Tiger Woods PGA Tour,5/10/2005,PSP,7.5,6,4
Dancing Stage: Mario Mix,Dance Dance Revolution with Mario,4/11/2005,GCN,7.5,6.88,22
Crónicas de Narnia,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",18/11/2005,PS2,7.5,6.2,11
Crónicas de Narnia,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",18/11/2005,PC,,-,Sin
Legion Arena,Legion Arena,Diciembre 2005,PC,7.5,-,Sin
Killer 7,killer7,14/9/2005,GCN,7.4,7.5,34
The Matrix: Path of Neo,The Matrix: Path of Neo,18/11/2005,PS2,7.4,6.65,32
The Matrix: Path of Neo,The Matrix: Path of Neo,18/11/2005,XBOX,,7.65,5
Donkey Kong King of Swing,Donkey Kong King of Swing,4/2/2005,GBA,7.3,9.5,2
Blood Will Tell,Blood Will Tell: Tezuka Osamu's Dororo,18/2/2005,PS2,7.3,7.22,11
CT Special Forces: Fire For Effect,CT Special Forces: Fire For Effect,22/3/2005,XBOX,,-,Sin
CT Special Forces: Fire For Effect,CT Special Forces: Fire For Effect,22/3/2005,PS2,7.3,-,Sin
Roland Garros 2005 Powered by Smash Court Tennis,Smash Court Tennis Roland Garros,18/5/2005,PS2,7.3,7.4,4
Killer 7,killer7,14/9/2005,PS2,7.3,7.19,12
Shattered Union,Shattered Union,21/10/2005,PC,7.3,7.5,2
Earth 2160,Earth 2160,Octubre 2005,PC,7.3,6.5,2
Tony Hawk's American Wasteland,Tony Hawk's American Wasteland,28/10/2005,X360,7.3,3.33,4
Gothic 2,Gothic II,Abril 2005,PC,7.2,8.21,20
Pac-Pix,Pac-Pix,20/5/2005,NDS,7.2,6.4,18
Moto GP 4,Moto GP 4,1/6/2005,PS2,7.2,7.58,21
El Señor de los Anillos: Tácticas,Lord of the Rings: Tactics,2/12/2005,PSP,7.2,7.02,17
Star Wars Episodio 3: La Venganza de los Sith,Star Wars Episode 3,5/5/2005,PS2,7.1,7.19,46
Star Wars Episodio 3: La Venganza de los Sith,Star Wars Episode 3,5/5/2005,XBOX,,8.09,3
Need for Speed Underground 2,Need for Speed Underground 2,18/11/2004,NDS,7.1,7.02,15
Conflict: Global Storm,Conflict: Global Terror,30/9/2005,PS2,7.1,7.14,5
Conflict: Global Storm,Conflict: Global Terror,30/9/2005,XBOX,,-,Sin
Conflict: Global Storm,Conflict: Global Terror,30/9/2005,PC,,7,1
Banjo-Pilot,Banjo Pilot,18/2/2005,GBA,7,4.78,6
Splinter Cell: Chaos Theory,Splinter Cell: Chaos Theory,Año 2005,NG,7,5,1
Mashed XXL,Mashed 2,12/4/2005,PS2,7,7.27,2
Mashed XXL,Mashed 2,12/4/2005,XBOX,,9,1
Star Fox Assault,Star Fox Assault,29/4/2005,GCN,7,7.35,107
Pariah,Pariah,16/5/2005,XBOX,7,8.18,2
Pariah,Pariah,16/5/2005,PC,7,7.5,4
Cold Winter,Cold Winter,31/5/2005,PS2,7,6.93,9
Bomberman DS,Bomberman DS,Julio 2005,NDS,7,7.33,31
Ape Academy,Ape Escape Academy,1/9/2005,PSP,7,7,3
Midnight Club 3: DUB Edition,Midnight Club 3: DUB Edition,1/9/2005,PSP,7,8.62,31
Genji,Genji: Dawn of the Samurai,26/10/2005,PS2,7,7.87,30
Vietcong 2,Vietcong 2,27/10/2005,PC,7,7.22,4
Final Conquest,Final Conquest,15/11/2005,PC,7,-,Sin
Batman Begins,Batman Begins,22/6/2005,XBOX,6.9,9.25,4
Los Caballeros del Zodiaco: El Santuario,Saint Seiya,30/6/2005,PS2,6.9,7.07,32
The Moment of Silence,The Moment of Silence,Febrero 2005,PC,6.8,8,3
Madagascar,Madagascar,3/6/2005,PS2,6.8,6.21,5
Madagascar,Madagascar,3/6/2005,GCN,,-,Sin
Madagascar,Madagascar,3/6/2005,XBOX,,8,1
Madagascar,Madagascar,3/6/2005,PC,,7,1
Batman Begins,Batman Begins,22/6/2005,PS2,6.8,6.71,27
Batman Begins,Batman Begins,22/6/2005,GCN,6.8,8.24,6
Top Spin,Top Spin,16/9/2005,PS2,6.8,6.83,12
Pesadilla antes de Navidad,Nightmare Before Christmas,28/9/2005,PS2,6.8,6.56,8
Pesadilla antes de Navidad,Nightmare Before Christmas,28/9/2005,XBOX,,8,1
Operation Flashpoint: Elite,Operation Flashpoint: Elite,Octubre 2005,XBOX,6.8,10,1
Pokémon XD: Tempestad Oscura,Pokémon XD: Gale of Darkness,18/11/2005,GCN,6.8,7.51,61
The Matrix: Path of Neo,The Matrix: Path of Neo,18/11/2005,PC,6.8,6.17,7
Amped 3,Amped 3,2/12/2005,X360,6.8,4.7,6
Playboy: The Mansion,Playboy: The Mansion,Marzo 2005,PC,,5.46,9
Street Racing Syndicate,SRS: Street Racing Syndicate,6/5/2005,GCN,6.7,5.72,4
Playboy: The Mansion,Playboy: The Mansion,Marzo 2005,PS2,6.7,5.72,10
Playboy: The Mansion,Playboy: The Mansion,Marzo 2005,XBOX,,2.5,3
Street Racing Syndicate,SRS: Street Racing Syndicate,6/5/2005,PS2,6.7,8,1
Street Racing Syndicate,SRS: Street Racing Syndicate,6/5/2005,XBOX,,-,Sin
L.A. Rush,L.A. Rush,Octubre 2005,PS2,6.7,5.84,5
L.A. Rush,L.A. Rush,Octubre 2005,XBOX,,-,Sin
Gun,Gun,11/11/2005,X360,6.7,6.37,8
The Urbz: Sims In The City,The Urbz: Sims In The City,Febrero 2005,NDS,6.6,7.25,4
Ridge Racer DS,Ridge Racer DS,3/6/2005,NDS,6.6,5.95,25
True Crime 2,True Crime: New York City,25/11/2005,PS2,6.6,6.7,14
True Crime 2,True Crime: New York City,25/11/2005,GCN,,5.84,5
True Crime 2,True Crime: New York City,25/11/2005,XBOX,,8,1
Goldeneye: Agente Corrupto,Goldeneye: Rogue Agent,1/12/2004,NDS,6.5,4.43,8
Geist,Geist,7/10/2005,GCN,6.5,6.44,43
Fallen Lords: Condemnation,Fallen Lords: Condemnation,9/12/2005,PC,6.5,-,Sin
Rumble Roses,Rumble Roses,Febrero 2005,PS2,6.4,7.57,9
Stolen,Stolen,21/3/2005,PS2,6.3,6.12,4
Stolen,Stolen,21/3/2005,PC,,-,Sin
Stolen,Stolen,21/3/2005,XBOX,,-,Sin
Ghost in the Shell: Stand Alone Complex,Ghost in the Shell: Stand Alone Complex,22/4/2005,PS2,6.3,6.65,8
Monster Hunter,Monster Hunter,25/5/2005,PS2,6.3,7.45,19
Los Cuatro Fantásticos,4 Fantásticos,8/7/2005,PS2,6.3,5.45,5
Los Cuatro Fantásticos,4 Fantásticos,8/7/2005,GCN,,7,1
Los Cuatro Fantásticos,4 Fantásticos,8/7/2005,XBOX,,7.33,3
Los Cuatro Fantásticos,4 Fantásticos,8/7/2005,PC,,8,2
Dynasty Warriors,Dynasty Warriors,8/9/2005,PSP,6.3,7.83,10
Capcom Fighting Jam,Capcom Fighting Evolution,11/2/2005,PS2,6.2,4.66,4
Constantine,Constantine,11/2/2005,PS2,6.2,5.08,7
Constantine,Constantine,11/2/2005,XBOX,,7,4
Constantine,Constantine,11/2/2005,PC,,4.83,3
Death by Degrees - Tekken: Nina Williams,Death by Degrees - Tekken: Nina Williams,13/4/2005,PS2,6.2,6.69,15
Outlaw Tennis,Outlaw Tennis,Septiembre 2005,PS2,6.2,8.27,3
187 Ride or Die,187 Ride or Die,Septiembre 2005,PS2,6.1,8,4
187 Ride or Die,187 Ride or Die,Septiembre 2005,XBOX,,-,Sin
Boiling Point: Road to Hell,Boiling Point: Road to Hell,20/5/2005,PC,6,8.03,5
CRC 2005 Cross Racing Championship,CRC 2005 Cross Racing Championship,Junio 2005,PC,6,5.12,4
Musashi: Samurai Legend,Samurai Legend Musashi,9/9/2005,PS2,6,6.8,18
Cold War,Cold War,26/10/2005,PC,6,6.5,2
Cold War,Cold War,26/10/2005,XBOX,,7,2
Delta Force Black Hawk Down,Delta Force Black Hawk Down,Septiembre 2005,XBOX,,-,Sin
Delta Force Black Hawk Down,Delta Force Black Hawk Down,Septiembre 2005,PS2,5.9,9.09,2
Tenchu: Fatal Shadows,Tenchu Kurenai,31/5/2005,PS2,5.8,6.94,10
Starship Troopers,Starship Troopers,17/11/2005,PC,5.7,10,1
SNK vs Capcom: SVC Chaos,SNK vs Capcom: SVC Chaos,15/4/2005,PS2,5.6,5.95,10
SNK vs Capcom: SVC Chaos,SNK vs Capcom: SVC Chaos,15/4/2005,XBOX,,7.81,4
Torrente 3,Torrente 3,Enero 2006,XBOX,,5,2
Torrente 3,Torrente 3,Enero 2006,PC,,3.91,4
FIFA 06,FIFA 2006,28/9/2005,NDS,5.5,4.8,12
Samurai Western,Samurai Western,24/6/2005,PS2,5.3,8,2
Marvel Nemesis: Rise of the Imperfects,Marvel Nemesis: Rise of the Imperfects,19/10/2005,PS2,5.2,8.2,7
Marvel Nemesis: Rise of the Imperfects,Marvel Nemesis: Rise of the Imperfects,19/10/2005,GCN,,-,Sin
Marvel Nemesis: Rise of the Imperfects,Marvel Nemesis: Rise of the Imperfects,19/10/2005,XBOX,,10,2
Beat Down: Fists of Vengeance,Beat Down: Fists of Vengeance,28/9/2005,PS2,5.1,6.71,14
Beat Down: Fists of Vengeance,Beat Down: Fists of Vengeance,28/9/2005,XBOX,,4,1
Strength & Honour,Strength & Honour,Enero 2005,PC,5,-,Sin
Sonic Gems Collection,Sonic Gems Collection,30/9/2005,PS2,5,7.26,13
Sonic Gems Collection,Sonic Gems Collection,30/9/2005,GCN,,7.74,22
Shadow the Hedgehog,Shadow the Hedgehog,25/11/2005,XBOX,,7.29,9
Shadow the Hedgehog,Shadow the Hedgehog,25/11/2005,PS2,5,6.05,26
Shadow the Hedgehog,Shadow the Hedgehog,25/11/2005,GCN,,7.08,25
Astro Boy (2005),Astro Boy (2005),11/2/2005,PS2,4.8,4.24,6
Without Warning,Without Warning,26/10/2005,PS2,4.8,7.83,3
Mario Party Advance,Mario Party Advance,24/6/2005,GBA,4.5,6.46,11
Pokémon Dash,Pokémon Dash,12/3/2005,NDS,4,4.36,31
XANADU NEXT,XANADU NEXT,24/6/2005,NG,4,10,1
Conspiracy: Weapons of Mass Destruction,Conspiracy: Weapons of Mass Destruction,13/7/2005,PS2,4,10,2
Conspiracy: Weapons of Mass Destruction,Conspiracy: Weapons of Mass Destruction,13/7/2005,PC,,-,Sin
Zoo Tycoon,Zoo Tycon,22/11/2013,NDS,4,8.2,9
Dragon Booster,Dragon Booster,2/6/2005,NDS,2.8,7,1
Winning Eleven 9,Winning Eleven 9,4/8/2005,PS2,-,7.7,53
The Legend of Zelda: Twilight Princess,The Legend of Zelda: Twilight Princess,8/12/2006,GCN,9.8,9.08,410
Shadow of the Colossus,Ico 2,15/2/2006,PS2,9.6,9.29,631
The Elder Scrolls IV: Oblivion,The Elder Scrolls IV: Oblivion,24/3/2006,PC,9.5,8.71,106
The Elder Scrolls IV: Oblivion,The Elder Scrolls IV: Oblivion,24/3/2006,X360,,8.75,284
Company of Heroes,Company of Heroes,Septiembre 2006,PC,9.5,8.42,47
Guitar Hero 2,Guitar Hero II,24/11/2006,PS2,9.5,7.87,35
Dark Messiah of Might & Magic,Dark Messiah of Might & Magic,26/10/2006,PC,9.4,7.78,30
Gears of War,Gears of War,17/11/2006,X360,9.4,8.67,688
The Legend of Zelda: Twilight Princess,The Legend of Zelda: Twilight Princess,8/12/2006,WII,9.4,9.04,830
TOCA Race Driver 3,TOCA Race Driver 3,23/2/2006,PS2,9.3,7.46,20
TOCA Race Driver 3,TOCA Race Driver 3,23/2/2006,XBOX,,8.09,3
TOCA Race Driver 3,TOCA Race Driver 3,23/2/2006,PC,,6.81,4
Dragon Quest: El Periplo del Rey Maldito,Dragon Quest 8,12/4/2006,PS2,9.3,8.71,331
Metroid Prime: Hunters,Metroid DS,5/5/2006,NDS,9.3,7.47,112
Half-Life 2 Episode One,Half-Life 2: Aftermath,1/6/2006,PC,9.3,8.45,75
New Super Mario Bros.,New Super Mario Bros.,30/6/2006,NDS,9.3,8.26,341
Animal Crossing: Wild World,Animal Crossing DS,31/3/2006,NDS,9.2,8.29,196
Guitar Hero,Guitar Hero,10/5/2006,PS2,9.2,8.02,32
Suikoden V,Suikoden 5,21/9/2006,PS2,9.2,8.14,48
English Training,English Training,13/10/2006,NDS,9.2,7.04,26
Medieval 2 Total War,Medieval II: Total War,20/11/2006,PC,9.2,8.62,50
Tom Clancy's Ghost Recon Advanced Warfighter,Ghost Recon 3,9/3/2006,X360,9.1,8.21,84
Tekken: Dark Resurrection,Tekken: Dark Resurrection,13/9/2006,PSP,9.1,8.2,79
Lumines II,Lumines 2,17/11/2006,PSP,9.1,8.5,22
Rayman Raving Rabbids,Rayman 4,7/12/2006,WII,9.1,6.93,82
Mario & Luigi: Partners in Time,Mario & Luigi 2,27/1/2006,NDS,9,8.09,99
Burnout Revenge,Burnout Revenge,21/9/2005,X360,9,7.58,28
Tetris DS,,21/4/2006,NDS,9,8.54,70
Guild Wars: Factions,Guild Wars: Factions,28/4/2006,PC,9,8.58,22
Rise of Legends,Rise of Nations: Rise of Legends,26/5/2006,PC,9,8.25,4
Heroes of Might & Magic 5,Heroes of Might & Magic V,30/5/2006,PC,9,8.12,26
LocoRoco,LocoRoco,21/6/2006,PSP,9,8.05,96
Pro Evolution Soccer 6,Winning Eleven: Pro Evolution Soccer 2007,26/10/2006,PS2,9,8.52,108
Neverwinter Nights 2,Neverwinter Nights 2,3/11/2006,PC,9,8.42,38
Ace Combat X,Ace Combat X Emboscada en el cielo,15/11/2006,PSP,9,7.77,14
Viva Piñata,Viva Pinata,1/12/2006,X360,9,8.06,99
Yoshi's Island DS,Yoshi's Island 2,1/12/2006,NDS,9,7.66,80
Psychonauts,Psychonauts,9/2/2006,XBOX,,8.97,13
Psychonauts,Psychonauts,9/2/2006,PC,8.9,8.55,22
Psychonauts,Psychonauts,9/2/2006,PS2,,8.4,5
Call of Juarez,Call of Juarez,28/6/2007,PC,8.9,7.69,19
Defcon,DEFCON: Everybody Dies,Septiembre 2006,PC,8.9,7,1
Gothic 3,Gothic III,24/10/2006,PC,8.9,7.4,18
El Señor de los Anillos: La Batalla por la Tierra Media 2,Lord ot the Rings: Battle for Middle Earth 2,28/2/2006,PC,8.8,8.18,51
Fight Night Round 3,Fight Night Round 3,20/3/2007,PS2,,6.19,7
Fight Night Round 3,Fight Night Round 3,20/3/2007,X360,8.8,7.4,45
Tomb Raider: Legend,Tomb Raider: Legend,7/4/2006,PS2,8.8,8.31,88
Tomb Raider: Legend,Tomb Raider: Legend,7/4/2006,XBOX,,7.47,19
Tomb Raider: Legend,Tomb Raider: Legend,7/4/2006,PC,,8.4,39
Ultimate Ghosts 'n' Goblins,Goku Makaimura,8/9/2006,PSP,8.8,7.96,52
FIFA 07,FIFA 2007,29/9/2006,PS2,8.8,7.17,45
Metal Gear Solid 3: Subsistence,Metal Gear Solid 3: Subsistence,5/10/2006,PS2,8.8,9.2,268
Splinter Cell: Double Agent,Splinter Cell 4,19/10/2006,X360,8.8,8,79
Warhammer 40.000 : Dawn of War - Dark Crusade,Warhammer 40.000 : Dawn of War - Dark Crusade,25/10/2006,PC,8.8,9.06,18
Guild Wars Nightfall,Guild Wars 3,27/10/2006,PC,8.8,8.39,20
Sid Meier's Railroads!,Sid Meier's Railroads!,3/11/2006,PC,8.8,9,3
Killzone Liberation,Killzone Liberation,8/11/2006,PSP,8.8,8.03,46
Imperivm Civitas,Imperium Civitas,28/11/2006,PC,8.8,6.47,6
Rainbow Six: Vegas,Tom Clancy's Rainbow Six: Vegas,30/11/2006,X360,8.8,7.64,48
Rayman Raving Rabbids,Rayman 4,7/12/2006,PS2,8.8,6.18,10
Rayman Raving Rabbids,Rayman 4,7/12/2006,PC,,-,Sin
Dead or Alive 4,Dead or Alive 4,27/1/2006,X360,8.7,7.91,123
Socom III: US Navy Seals,Socom 3,19/4/2006,PS2,8.7,7.06,16
Trauma Center: Under the Knife,Kaduceus DS,28/4/2006,NDS,8.7,7.89,67
SpellForce 2: Shadow Wars,SpellForce 2: Shadow Wars,28/4/2006,PC,8.7,-,Sin
Tourist Trophy,Tourist Trophy: The Real Riding Simulator,Mayo 2006,PS2,8.7,7.84,28
Prey (2006),Prey (2006),14/7/2006,PC,8.7,8.16,16
42 All-Time Classics,42 All-Time Classics,29/9/2006,NDS,8.7,7.56,40
FIFA 07,FIFA 2007,29/9/2006,X360,8.7,7.15,45
We Love Katamari,Katamari Damacy 2,22/2/2006,PS2,8.6,8.22,46
El Padrino,The Godfather,22/9/2006,PS2,8.6,7.31,36
El Padrino,The Godfather,22/9/2006,XBOX,,8.06,5
El Padrino,The Godfather,22/9/2006,PC,,6.5,5
MotoGP 2006,MotoGP Ultimate Racing Technology,7/6/2006,X360,8.6,6.72,18
Dead Rising,Dead Rising,8/9/2006,X360,8.6,8.19,237
Canis Canem Edit,Bully,22/3/2016,PS2,8.6,8.48,81
Disgaea 2,Disgaea 2,10/11/2006,PS2,8.6,7.82,12
Grand Theft Auto: Vice City Stories,GTA Vice City Stories,10/11/2006,PSP,8.6,8.4,100
BLACK,BLACK,23/2/2006,PS2,8.5,8.25,82
BLACK,BLACK,23/2/2006,XBOX,,8.39,18
Tales of Eternia,Tales of Eternia,24/2/2006,PSP,8.5,8.21,59
Street Fighter Alpha 3 Max,Street Fighter Alpha 3 Double Upper,10/3/2006,PSP,8.5,8.14,34
Onimusha: Dawn of Dreams,Onimusha: Dawn of Dreams,14/3/2006,PS2,8.5,7.91,46
Tales of Phantasia,Tales of Phantasia,31/3/2006,GBA,8.5,8.47,66
Prey (2006),Prey (2006),14/7/2006,X360,8.5,7.81,81
Def Jam Fight for NY: The Takeover,Def Jam Fight for NY: The Takeover,22/9/2006,PSP,8.5,8.17,5
Kingdom Hearts II,Kingdom Hearts 2,29/9/2006,PS2,8.5,8.53,302
FIFA 07,FIFA 2007,29/9/2006,PC,8.5,5.77,4
Saints Row,Saint's Row,Septiembre 2006,X360,8.5,7.62,57
Steambot Chronicles,Steambot Chronicles,6/10/2006,PS2,8.5,8.42,3
Caesar IV,Caesar IV,13/10/2006,PC,8.5,10,1
Football Manager 2007,Football Manager 2007,20/10/2006,X360,8.5,6.58,5
Ridge Racer 6,Ridge Racer 6,19/1/2006,X360,8.4,7.04,36
Outrun 2006 Coast 2 Coast,Outrun 2006 Coast 2 Coast,31/3/2006,XBOX,8.4,6.36,4
Test Drive Unlimited,Test Drive Unlimited,8/9/2006,X360,8.4,7.25,45
Joint Task Force,Joint Task Force,15/9/2006,PC,8.4,-,Sin
Civilization IV: Warlords,Sid Meier's Civilization IV: Warlords,28/7/2006,PC,8.3,7.54,7
Dragon Ball Z Budokai Tenkaichi 2,Dragon Ball Z : Sparking Neo,27/10/2006,PS2,8.3,8.34,137
RACE - The Official WTCC Game,RACE - The Official WTCC Game,30/11/2006,PC,8.3,8.58,4
Naruto: Clash of Ninja,Naruto: Clash of Ninja,1/12/2006,GCN,8.3,8.16,27
Me & My Katamari,Me & My Katamari,Año 2006,PSP,8.3,7.69,14
Marc Ecko Getting Up,Marc Ecko's Getting Up: Contents Under Pressure,17/2/2006,PS2,8.2,7.78,5
Marc Ecko Getting Up,Marc Ecko's Getting Up: Contents Under Pressure,17/2/2006,XBOX,,10,1
Marc Ecko Getting Up,Marc Ecko's Getting Up: Contents Under Pressure,17/2/2006,PC,,-,Sin
Project Zero 3,Project Zero III,3/3/2006,PS2,8.2,8.14,44
Copa Mundial de la FIFA 2006,2006 FIFA World Cup,Abril 2006,PS2,8.2,7.06,9
Copa Mundial de la FIFA 2006,2006 FIFA World Cup,Abril 2006,GCN,,8.25,4
Copa Mundial de la FIFA 2006,2006 FIFA World Cup,Abril 2006,XBOX,,8.5,6
Hitman: Blood Money,Hitman: Blood Money,26/5/2006,PS2,,8.05,33
Hitman: Blood Money,Hitman: Blood Money,26/5/2006,PC,8.2,8.26,16
Table Tennis,Rockstar Games presents Table Tennis,26/5/2006,X360,8.2,7.41,68
Tomb Raider: Legend,Tomb Raider: Legend,7/4/2006,PSP,8.2,7.5,24
The Ship,The Ship,11/7/2006,PC,8.2,7.06,5
Broken Sword: The Angel of Death,Broken Sword 4,20/9/2006,PC,8.2,6.45,8
Age of Empires 2: The Age of Kings,Age of Empires 2: The Age of Kings,3/11/2006,NDS,8.2,6.66,21
Call of Duty 3,Call of Duty 3,23/3/2007,X360,8.2,7.67,82
Star Wars: El Imperio en Guerra,Star Wars: Empire at War,17/2/2006,PC,8.1,7.73,14
FIFA Street 2,FIFA Street 2,28/2/2006,PS2,8.1,7.84,25
FIFA Street 2,FIFA Street 2,28/2/2006,GCN,,6.08,4
FIFA Street 2,FIFA Street 2,28/2/2006,XBOX,,7.53,6
Need for Speed Carbono,Need for Speed Carbono,8/11/2006,X360,8.1,7.18,28
Star Trek Legacy,Star Trek Legacy,7/12/2006,X360,8.1,-,Sin
The Rub Rabbits!,Project Rub 2,17/2/2006,NDS,8,7.02,19
Viewtiful Joe Double Trouble,Viewtiful Joe Double Trouble,Febrero 2006,NDS,8,6.95,24
Bust a Move,Bust a Move,Febrero 2006,NDS,8,7.53,8
Atelier Iris: Eternal Mana,Atelier Iris: Eternal Mana,17/3/2006,PS2,8,7.44,9
Far Cry Instincts Predator,Far Cry Instincts Predator,24/3/2006,X360,8,6.23,33
Outrun 2006 Coast 2 Coast,Outrun 2006 Coast 2 Coast,31/3/2006,PS2,8,7.16,12
Dragon Ball Z: Shin Budokai,Dragon Ball Z: Shin Budokai,19/5/2006,PSP,8,8.08,36
