,Title,Sales,Platform,Date,Genre
1223, Dynasty Warriors 9,0.08m,XOne,13th Feb 18  ,Action
1224, Akiba's Beat,0.08m,PS4,16th May 17  ,Action
1225, Metal Gear Survive,0.08m,XOne,20th Feb 18  ,Action
1226, Samurai Warriors: Spirit of Sanada,0.07m,PS4,23rd May 17  ,Action
1227, Far Cry 5,0.07m,PC,27th Feb 18  ,Action
1228, Attack on Titan,0.07m,PS3,01st Jan 17  ,Action
1229, Has-Been Heroes,0.07m,PS4,28th Mar 17  ,Action
1230, Styx: Shards of Darkness,0.07m,PS4,14th Mar 17  ,Action
1231, Attack on Titan 2: Future Coordinates,0.07m,3DS,30th Nov 17  ,Action
1232, One Piece: Unlimited World Red Deluxe Edition,0.07m,NS,29th Sep 17  ,Action
1233, Middle-Earth: Shadow of War,0.07m,PC,10th Oct 17  ,Action
1234, SG/ZH: School Girl/Zombie Hunter,0.07m,PS4,17th Nov 17  ,Action
1235, Accel World vs. Sword Art Online: Millennium Twilight,0.07m,PSV,07th Jul 17  ,Action
1236, Bad Apple Wars,0.07m,PSV,13th Oct 17  ,Action
1237, Nights of Azure 2: Bride of the New Moon,0.06m,NS,24th Oct 17  ,Action
1238, Ittle Dew 2+,0.06m,NS,14th Nov 17  ,Action
1239, Girls und Panzer: Dream Tank Match,0.06m,PS4,22nd Feb 18  ,Action
1240, Fate/Extella Link,0.06m,PSV,07th Jun 18  ,Action
1241, Deformers,0.06m,PS4,21st Apr 17  ,Action
1242, Yomawari: Midnight Shadows,0.06m,PS4,24th Oct 17  ,Action
1243, Okami HD,0.06m,XOne,12th Dec 17  ,Action
1244, Azure Striker Gunvolt: Striker Pack,0.06m,NS,21st Nov 17  ,Action
1245, Extinction,0.06m,PS4,10th Apr 18  ,Action
1246, Gintama Ranbu,0.06m,PS4,18th Jan 18  ,Action
1247, One Piece: Pirate Warriors 3 - Deluxe Edition,0.06m,NS,11th May 18  ,Action
1248, Sine Mora EX,0.06m,PS4,08th Aug 17  ,Action
1249, Tiny Barbarian DX,0.06m,NS,10th Oct 17  ,Action
1250, Styx: Shards of Darkness,0.06m,XOne,14th Mar 17  ,Action
1251, Touhou Genso Wanderer,0.05m,PS4,21st Mar 17  ,Action
1252, Collar x Malice,0.05m,PSV,28th Jul 17  ,Action
1253, Has-Been Heroes,0.05m,XOne,28th Mar 17  ,Action
1254, Deformers,0.05m,XOne,21st Apr 17  ,Action
1255, Extinction,0.05m,XOne,10th Apr 18  ,Action
1256, Apex Construct,0.05m,PS4,28th Aug 18  ,Action
1257, The Escapists 2,0.05m,NS,30th Oct 18  ,Action
1258, Ben 10 (2017),0.05m,PS4,14th Nov 17  ,Action
1259, Warriors All-Stars,0.05m,PSV,30th Mar 17  ,Action
1260, Dead Cells,0.05m,PS4,15th Aug 18  ,Action
1261, Vikings: Wolves of Midgard,0.04m,PS4,28th Mar 17  ,Action
1262, Devil May Cry HD Collection,0.04m,XOne,13th Mar 18  ,Action
1263, For Honor,0.04m,PC,14th Feb 17  ,Action
1264, Minna de Wai Wai! Spelunker,0.04m,NS,20th Apr 17  ,Action
1265, Senran Kagura Burst Re:Newal,0.04m,PS4,15th Jan 19  ,Action
1266, Anima - Gate of Memories,0.04m,PS4,21st Mar 17  ,Action
1267, Sine Mora EX,0.04m,NS,26th Sep 17  ,Action
1268, Unbox: Newbie's Adventure,0.04m,PS4,26th Jul 17  ,Action
1269, Dark Souls Trilogy,0.04m,XOne,19th Oct 18  ,Action
1270, Okami HD,0.04m,NS,09th Aug 18  ,Action
1271, Yonder: The Cloud Catcher Chronicles,0.04m,PS4,25th Jul 17  ,Action
1272, Gintama Ranbu,0.04m,PSV,18th Jan 18  ,Action
1273, Doraemon the Movie: Nobita no Nankyoku Kachikochi Daibouken,0.04m,3DS,02nd Mar 17  ,Action
1274, Sine Mora EX,0.04m,XOne,08th Aug 17  ,Action
1275, Warriors  Orochi 4,0.04m,XOne,16th Oct 18  ,Action
1276, Akiba's Beat,0.03m,PSV,16th May 17  ,Action
1277, Attack on Titan 2,0.03m,PSV,15th Mar 18  ,Action
1278, Code of  Princess EX,0.03m,NS,31st Jul 18  ,Action
1279, Raiden V,0.03m,PS4,10th Oct 17  ,Action
1281, Cyber Troopers: Virtual On x Toaru Majutsu no Index: Toaru Majutsu no Dennou Senki,0.03m,PS4,15th Feb 18  ,Action
1282, 100% Pascal Sensei: Kanpeki Paint Bombers,0.03m,3DS,13th Jul 17  ,Action
1283, Labyrinth of Refrain: Coven of Dusk,0.03m,PS4,18th Sep 18  ,Action
1284, Troll and I,0.03m,PS4,21st Mar 17  ,Action
1285, Carmageddon: Max Damage,0.03m,XOne,01st Jan 17  ,Action
1286, Utawarerumono Zan,0.03m,PS4,27th Sep 18  ,Action
1287, The Lost Child,0.03m,PS4,19th Jun 18  ,Action
1288, Shinsei Batteki Drive Girls,0.03m,PSV,08th Sep 17  ,Action
1289, Yomawari: Midnight Shadows,0.03m,PSV,24th Oct 17  ,Action
1290, The Longest 5 Minutes,0.03m,NS,13th Feb 18  ,Action
1291, Yonder: The Cloud Catcher Chronicles,0.03m,NS,12th Jun 18  ,Action
1292, Ben 10 (2017),0.03m,XOne,14th Nov 17  ,Action
1293, Doraemon: Nobita no Takarajima,0.03m,3DS,01st Mar 18  ,Action
1294, Cladun Returns: This Is Sengoku!,0.03m,PS4,06th Jun 17  ,Action
1295, Past Cure,0.03m,PS4,23rd Feb 18  ,Action
1296, The Longest 5 Minutes,0.02m,PSV,13th Feb 18  ,Action
1297, 88 Heroes: 98 Heroes Edition,0.02m,NS,10th Oct 17  ,Action
1298, Bullet Girls: Phantasia,0.02m,PS4,09th Aug 18  ,Action
1299," Warhammer 40,000: Deathwatch",0.02m,PS4,14th Aug 18  ,Action
1300, Super Run For Money Tousouchuu & Sentouchuu,0.02m,NS,29th Nov 18  ,Action
1301," Warhammer 40,000: Inquisitor - Martyr",0.02m,PS4,28th Aug 18  ,Action
1302, Pharaonic,0.02m,XOne,29th Sep 17  ,Action
1303, Titan Quest,0.02m,XOne,20th Mar 18  ,Action
1304, Resident Evil: Revelations,0.02m,XOne,29th Aug 17  ,Action
1305, Brothers Conflict: Precious Baby,0.02m,PSV,07th Apr 17  ,Action
1306, Titan Quest,0.02m,PS4,20th Mar 18  ,Action
1307, Cladun Returns: This Is Sengoku!,0.02m,PSV,26th May 17  ,Action
1308, Psychedelica of the Black Butterfly,0.02m,PSV,27th Mar 18  ,Action
1309, Cyber Troopers: Virtual On x Toaru Majutsu no Index: Toaru Majutsu no Dennou Senki,0.02m,PSV,15th Feb 18  ,Action
1310, Shaq-Fu: A Legend Reborn,0.02m,PS4,05th Jun 18  ,Action
1311, Shaq-Fu: A Legend Reborn,0.02m,NS,05th Jun 18  ,Action
1312, Troll and I,0.02m,XOne,21st Mar 17  ,Action
1313, Past Cure,0.02m,XOne,23rd Feb 18  ,Action
1314, Shaq-Fu: A Legend Reborn,0.02m,XOne,05th Jun 18  ,Action
1315, Mega Man Legacy Collection 2,0.02m,XOne,08th Aug 17  ,Action
1316," Warhammer 40,000: Inquisitor - Martyr",0.02m,XOne,28th Aug 18  ,Action
1317, Vikings: Wolves of Midgard,0.02m,PC,28th Mar 17  ,Action
1318, Vikings: Wolves of Midgard,0.02m,XOne,28th Mar 17  ,Action
1319, Fortnite,0.02m,PC,21st Jul 17  ,Action
1320, Nights of Azure 2,0.02m,PSV,31st Aug 17  ,Action
1321, Pharaonic,0.02m,PS4,29th Sep 17  ,Action
1322, White Day: A Labyrinth Named School (2017),0.02m,PS4,29th Aug 17  ,Action
1323, Yoku's Island Express,0.02m,XOne,19th Jun 18  ,Action
1324, Let It Die,0.01m,PS4,31st Dec 20  ,Action
1325, Unbox: Newbie's Adventure,0.01m,NS,01st Nov 17  ,Action
1326, Bullet Girls: Phantasia,0.01m,PSV,09th Aug 18  ,Action
1327, Yoku's Island Express,0.01m,PS4,19th Jun 18  ,Action
1328, Titan Quest,0.01m,NS,31st Jul 18  ,Action
1329, Nari Kids Park: Hugtto! PreCure,0.01m,NS,21st Nov 18  ,Action
1330, Fujiko F. Fujio Characters: Great Assembly! Slightly Fantastic Slapstick Party,0.01m,3DS,31st Dec 20  ,Action
1331, Has-Been Heroes,0.01m,PC,28th Mar 17  ,Action
1332, Warriors Orochi 3,0.01m,NS,09th Nov 17  ,Action
1333, Deformers,0.01m,PC,21st Apr 17  ,Action
1334, CharadeManiacs,0.01m,PSV,09th Aug 18  ,Action
1335, Yoku's Island Express,0.01m,NS,19th Jun 18  ,Action
1336, Ketsui Deathtiny: Kizuna Jigoku Tachi,0.01m,PS4,29th Nov 18  ,Action
1337, Darksiders III,0.01m,PC,27th Nov 18  ,Action
1338, One Piece: Unlimited World Red Deluxe Edition,0.01m,PS4,25th Aug 17  ,Action
1339, Darius Burst: Chronicle Saviours,0.01m,PS4,30th Mar 17  ,Action
1340, Nari Kids Park: Ultraman R/B,0.00m,NS,21st Nov 18  ,Action
1341, Dynasty Warriors 8: Empires,0.00m,NS,09th Nov 17  ,Action
1342, Samurai Warriors: Sanada Maru,0.00m,NS,09th Nov 17  ,Action
1343, Shin Megami Tensei IV Double Hero Pack,0.00m,3DS,19th Apr 18  ,Action
1344, Dillon's Dead-Heat Breakers,0.00m,3DS,26th Apr 18  ,Action
1345, Crayon Shin-Chan Gekiatsu! Oden Wa ~ Rudo Dai Konran!!,0.00m,3DS,30th Nov 17  ,Action
1346, Fujiko F. Fujio Characters: Great Assembly! Slightly Fantastic Slapstick Party,0.00m,WiiU,31st Dec 20  ,Action
1347,  War Thunder,0.00m,PS4,27th Apr 17  ,Action
1348, Hello Neighbor,0.00m,PC,08th Dec 17  ,Action
1349, Nari Kids Park: Kaitou Sentai Lupinranger Vs. Keisatsu Sentai Patoranger,0.00m,NS,21st Nov 18  ,Action
1350, Kingdom Hearts HD I.5 + II.5 ReMIX,0.00m,PS4,28th Mar 17  ,Action
