Name,Main story duration,Duration hrs
Transformers: Dark of the Moon - Stealth Force Edition,--,
Star Wars: Flight of the Falcon,3 Hours,3.0
Chicken Shoot,37 Mins,0.6166666666666667
Chicken Shoot 2,28 Mins,0.4666666666666667
Chicken Shoot Gold,1 Hours,1.0
Driver 2 Advance,--,
Freeway,5 Mins,0.08333333333333333
Freeways,5 Hours,5.0
Freeway Mutant,--,
Frostbite,20 Mins,0.3333333333333333
ICY: Frostbite Edition,6 Hours,6.0
Frostbite: Deadly Climate,1 Hours,1.0
Conan,8 Hours,8.0
Conan Exiles,27.5 Hours,27.5
Conan Unconquered,7.5 Hours,7.5
Meitantei Conan: Kieta Hakase to Machigai Sagashi no Tou,--,
Meitantei Conan: Karakuri Jiin Satsujin Jiken,--,
Conan the Mighty Pig,51 Mins,0.85
Conan: The Mysteries of Time,36 Mins,0.6
Conan: The Cimmerian,--,
Conan Chop Chop,--,
Fantastic Voyage,--,
Tenchu Z,18.5 Hours,18.5
Bank Heist,--,
Payday 2: The Big Bank Heist,42 Mins,0.7
Thief: The Bank Heist DLC,44 Mins,0.7333333333333333
Tiny Tank: Up Your Arsenal,3 Hours,3.0
Remember Me,10 Hours,10.0
She Remembered Caterpillars,4 Hours,4.0
Remember 11: The Age of Infinity,19.5 Hours,19.5
Always Remember Me,2 Hours,2.0
Do You Remember My Lullaby?,26 Mins,0.43333333333333335
"Remember, Remember",--,
The Dandelion Girl: Don't You Remember Me?,46 Mins,0.7666666666666667
Fisher-Price: I Can Remember,--,
Super Dimension Fortress Macross: Do You Remember Love?,3 Hours,3.0
Magical Princess Minky Momo Remember Dream,2 Hours,2.0
Fade to Black,3 Hours,3.0
Harry Potter and the Deathly Hallows - Part 2,5 Hours,5.0
Night at the Museum: Battle of the Smithsonian,3 Hours,3.0
Deathtrap Dungeon,10.5 Hours,10.5
Deathtrap Dungeon: The Interactive Video Adventure,5 Hours,5.0
Ninja Blade,9 Hours,9.0
Disney's Treasure Planet,3 Hours,3.0
Binary Domain,9 Hours,9.0
Naruto: Rise of a Ninja,9 Hours,9.0
BattleTanx,2.5 Hours,2.5
Ultimate NES Remix,7 Hours,7.0
Chicken Riot,--,
Teen Titans,4 Hours,4.0
Teen Titans 2,--,
Teeny Titans,--,
Golden Axe: Beast Rider,6 Hours,6.0
Fireball,--,
Elebits,9.5 Hours,9.5
Elebits: The Adventures of Kai and Zero,8.5 Hours,8.5
Saban's Power Rangers Samurai,2.5 Hours,2.5
Power Rangers Super Samurai,2 Hours,2.0
Silent Hill HD Collection,12.5 Hours,12.5
Overblood,5 Hours,5.0
OverBlood 2,14.5 Hours,14.5
Overlord II,16 Hours,16.0
Tears to Tiara II: Heir of the Overlord,52 Hours,52.0
Fortress,1.5 Hours,1.5
Avadon: The Black Fortress,40 Hours,40.0
Just Cause 3: Sky Fortress DLC,2 Hours,2.0
Ishar: Legend of the Fortress,18 Hours,18.0
Lufia & the Fortress of Doom,26.5 Hours,26.5
Beyblade: Metal Fusion,1.5 Hours,1.5
Super Dimension Fortress Macross: Scrambled Valkyrie,59 Mins,0.9833333333333333
Super Dimension Fortress Macross,15 Mins,0.25
Dwarf Fortress,66 Hours,66.0
Naruto: Ultimate Ninja Heroes 2: The Phantom Fortress,14 Hours,14.0
Two Worlds II: Pirates of the Flying Fortress DLC,6.5 Hours,6.5
Blasted Fortress,--,
Team Fortress Arcade,37 Mins,0.6166666666666667
Battle Kid: Fortress of Peril,4 Hours,4.0
B-17 Flying Fortress: The Mighty 8th,--,
Frankenstein's Monster,--,
Power Rangers: Time Force,--,
Senran Kagura: Shinovi Versus,18 Hours,18.0
Senran Kagura: Shinovi Versus - Daidouji DLC,20 Mins,0.3333333333333333
Senran Kagura: Shinovi Versus - Rin DLC,1 Hours,1.0
MySims SkyHeroes,--,
Mega Man Battle Network 2,20 Hours,20.0
Mountain King,--,
King Under the Mountain,--,
No Fear Downhill Mountain Biking,5 Hours,5.0
Shred! Downhill Mountain Biking,--,
Slot Machine,--,
Astroblast,5 Mins,0.08333333333333333
Blade II,7 Hours,7.0
Mount & Blade II: Bannerlord,38.5 Hours,38.5
Senua's Saga: Hellblade II,--,
Samurai Shodown III: Blades of Blood,1.5 Hours,1.5
Heroes of Might and Magic III: Armageddon's Blade,42.5 Hours,42.5
Infinity Blade II,8 Hours,8.0
AeternoBlade II,16 Hours,16.0
Warrior Blade: Rastan Saga Episode III,1.5 Hours,1.5
Tengai,31 Mins,0.5166666666666667
Infinity Blade III,8 Hours,8.0
Blades Of Thunder II,--,
Joe Blade II,30 Mins,0.5
Disney's Stitch: Experiment 626,--,
Chaos Legion,12 Hours,12.0
Looney Tunes: Duck Amuck,2.5 Hours,2.5
One Piece Unlimited Cruise SP,16 Hours,16.0
One Piece: Unlimited Cruise - Episode 2: Awakening of a Hero,32 Hours,32.0
The Suite Life of Zack & Cody: Circle of Spies,--,
Nicktoons: Battle for Volcano Island,6.5 Hours,6.5
Kenka Bancho: Badass Rumble,6.5 Hours,6.5
Dolphin,--,
Ecco the Dolphin,5 Hours,5.0
Ecco the Dolphin: Defender of the Future,9 Hours,9.0
Dolphin Blue,48 Mins,0.8
Petz Wild Animals: Dolphinz,--,
Dolphins-Cyborgs and Open Space,--,
Prince of Persia: Rival Swords,9.5 Hours,9.5
Fast Food,--,
Fast Food Panic,--,
Fast Food Tycoon 2,--,
Fast Food Tycoon,8 Hours,8.0
Dragon Ball GT: Transformation,2 Hours,2.0
Bladestorm: The Hundred Years' War,30.5 Hours,30.5
X-Men: Reign of Apocalypse,1.5 Hours,1.5
Star Trek: Bridge Crew,5 Hours,5.0
Polaris,--,
Alpha Polaris,5 Hours,5.0
Polaris Snocross,8 Hours,8.0
Winter Polaris,--,
Polaris Sector,--,
Medieval Moves: Deadmund's Quest,7.5 Hours,7.5
ZhuZhu Pets: Kung Zhu,--,
El Shaddai: Ascension of the Metatron,8.5 Hours,8.5
Jackass: The Game,3 Hours,3.0
Onechanbara Z2: Chaos,6 Hours,6.0
The Binding of Isaac: Afterbirth+,5 Hours,5.0
Gundam Versus,1.5 Hours,1.5
Tak and the Guardians of Gross,8 Hours,8.0
Mr. Do!,17 Mins,0.2833333333333333
Tiny Toon Adventures: Plucky's Big Adventure,2 Hours,2.0
Transformers: Cybertron Adventures,2 Hours,2.0
Shadows of the Damned,8.5 Hours,8.5
Flag Capture,--,
Capture the Flag,--,
Shadow Man,14.5 Hours,14.5
The Hat Man: Shadow Ward,2 Hours,2.0
Shadow Man Remastered,19 Hours,19.0
Shadow of the Tomb Raider: The Grand Caiman,43 Mins,0.7166666666666667
Shadow Man: 2econd Coming,9 Hours,9.0
Beyblade: Metal Masters,23 Mins,0.38333333333333336
Shadow of Rome,18 Hours,18.0
Fate/Extella: The Umbral Star,21 Hours,21.0
Assassin's Creed: Altair's Chronicles,5 Hours,5.0
Rune: Viking Warlord,10 Hours,10.0
Ninja Gaiden Sigma Plus,14 Hours,14.0
Superman Returns,7 Hours,7.0
Deadly Premonition,18.5 Hours,18.5
Deadly Premonition 2: A Blessing in Disguise,20 Hours,20.0
Rugrats: I Gotta Go Party,37 Mins,0.6166666666666667
Sengoku Basara 2,11 Hours,11.0
Sengoku Basara 2: Heroes,--,
Sengoku Basara: Battle Heroes,20.5 Hours,20.5
Classic NES Series: Bomberman,2 Hours,2.0
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,5 Hours,5.0
Resident Evil: Deadly Silence,5.5 Hours,5.5
Oddworld: Stranger's Wrath,10.5 Hours,10.5
Tokyo Jungle,15 Hours,15.0
The Suite Life of Zack & Cody: Tipton Trouble,--,
Ratchet & Clank: Full Frontal Assault,5 Hours,5.0
The Powerpuff Girls: Chemical X-Traction,38 Mins,0.6333333333333333
Spider-Man: Edge of Time,7 Hours,7.0
The Outfit,8 Hours,8.0
Devil Kings,3 Hours,3.0
X-Men Origins: Wolverine,9 Hours,9.0
Butt Ugly Martians: B.K.M. Battles,--,
X-Men: Destiny,5.5 Hours,5.5
Spawn: The Eternal,15 Hours,15.0
Genma Onimusha,5.5 Hours,5.5
G-Police,17.5 Hours,17.5
G-Police: Weapons of Justice,4.5 Hours,4.5
The Escapists 2,19 Hours,19.0
The Escapists 2: Wicked Ward,--,
The Escapists 2: Big Top Breakout,--,
The Escapists 2: Dungeons And Duct Tape,--,
Azurik: Rise of Perathia,28 Hours,28.0
Transformers: Devastation,5.5 Hours,5.5
Front Line,42 Mins,0.7
Frontlines: Fuel of War,5 Hours,5.0
Medal of Honor: Frontline,9 Hours,9.0
World War II: Panzer Claws,--,
Girls' Frontline,--,
Frontline: Road to Moscow,13 Hours,13.0
Storm: Frontline Nation,--,
Frontline,--,
Dragon Marked for Death: Frontline Fighters,16.5 Hours,16.5
Frontline Zed,2.5 Hours,2.5
Alien Front Online,--,
Frontline Heroes VR,--,
Army Men: Air Combat,8 Hours,8.0
Paperboy,1 Hours,1.0
Paperboy (N64),5 Hours,5.0
Paperboy 2,6 Hours,6.0
Lucky Luke,2 Hours,2.0
Lucky Luke: Western Fever,5 Hours,5.0
Lucky Luke: Desperado Train,--,
Lucky Luke: Wanted!,3 Hours,3.0
Ghost Rider,4.5 Hours,4.5
Wild 9,4 Hours,4.0
Wild-9,27 Mins,0.45
G.I. Joe: The Rise of Cobra,5 Hours,5.0
Covert Ops: Nuclear Dawn,11 Hours,11.0
Rampage,2.5 Hours,2.5
Retro City Rampage DX,5.5 Hours,5.5
Viscera Cleanup Detail: Santa's Rampage,2 Hours,2.0
Full Mojo Rampage,6 Hours,6.0
Rampage Knights,7 Hours,7.0
AI: Rampage,--,
Redneck Rampage,8 Hours,8.0
Redneck Rampage Rides Again,4 Hours,4.0
Redneck Rampage: Suckin' Grits on Route 66,4 Hours,4.0
Alien Rampage,5.5 Hours,5.5
Crash Bandicoot Purple: Ripto's Rampage,4 Hours,4.0
Rampage: Puzzle Attack,--,
Retro City Rampage,6 Hours,6.0
Roller Coaster Rampage,--,
Roarr! The Adventures of Rampage Rex,52 Mins,0.8666666666666667
Rampage Through Time,3 Hours,3.0
Runic Rampage,6 Hours,6.0
Afro Samurai,7 Hours,7.0
Afro Samurai 2: Revenge of Kuma,2 Hours,2.0
Killer Is Dead,7 Hours,7.0
The Lord of the Rings: Aragorn's Quest,6.5 Hours,6.5
Buffy the Vampire Slayer,2 Hours,2.0
Buffy the Vampire Slayer: Chaos Bleeds,9.5 Hours,9.5
Buffy the Vampire Slayer: Wrath of the Darkhul King,--,
Buffy the Vampire Slayer: Sacrifice,--,
The Scorpion King: Rise of the Akkadian,6 Hours,6.0
WWE All Stars,4 Hours,4.0
Perfect Weapon,--,
World Series of Poker 2008: Battle for the Bracelets,--,
Genji: Dawn of the Samurai,7 Hours,7.0
Critical Depth,8 Hours,8.0
Rampage 2: Universal Tour,3 Hours,3.0
Saint Seiya: Sanctuary Battle,8 Hours,8.0
Metal Gear Survive,22 Hours,22.0
Silent Hill: Book of Memories,18.5 Hours,18.5
Rogue Ops,8 Hours,8.0
Legion: The Legend of Excalibur,--,
Def Jam: Fight for NY,6 Hours,6.0
Spartan: Total Warrior,12.5 Hours,12.5
Assault,--,
Tiny Tina's Assault on Dragon Keep: A Wonderlands One-Shot Adventure,5 Hours,5.0
Arma: Cold War Assault,22 Hours,22.0
"Warhammer 40,000: Dawn of War - Winter Assault",11 Hours,11.0
Halo: Spartan Assault,4 Hours,4.0
Men of War: Assault Squad 2,64 Hours,64.0
The Chronicles of Riddick: Assault on Dark Athena,9 Hours,9.0
Men of War: Assault Squad,15.5 Hours,15.5
Borderlands 2: Tiny Tina's Assault on Dragon Keep DLC,5.5 Hours,5.5
Assault Android Cactus,3 Hours,3.0
Medal of Honor: Pacific Assault,9 Hours,9.0
Star Fox: Assault,5.5 Hours,5.5
Medal of Honor: Allied Assault,9 Hours,9.0
Droid Assault,3.5 Hours,3.5
Reactor,--,
ReactorX,--,
Rainbow Reactor,--,
Gundam Battle Chronicle,--,
Danball Senki BOOST,--,
Sengoku Basara 3: Utage,--,
Danny Phantom: The Ultimate Enemy,1.5 Hours,1.5
Crazy Climber,15 Mins,0.25
Hyper Crazy Climber,--,
Crazy Climber Wii,--,
Crazy Climber 2000,--,
Mega Man Legends,7.5 Hours,7.5
All Star Karate,5.5 Hours,5.5
Bladestorm: Nightmare,31 Hours,31.0
Aliens vs. Predator: Requiem,4 Hours,4.0
Deadly Creatures,6.5 Hours,6.5
Outlast Trinity,14.5 Hours,14.5
Bishoujo Senshi Sailor Moon,1.5 Hours,1.5
Bishoujo Senshi Sailor Moon R,45 Mins,0.75
Sailor Moon: Another Story,15 Hours,15.0
Pretty Soldier Sailor Moon,46 Mins,0.7666666666666667
Sailor Moon Drops,--,
Sailor Moon S,--,
Sailor Moon S Kurukkurin,1 Hours,1.0
Sailor Moon SuperS: Fuwa Fuwa Panic,--,
Sailor Moon Sailor Stars: Fuwa Fuwa Panic 2,--,
Bishoujo Senshi Sailor Moon S,1.5 Hours,1.5
Bishoujo Senshi Sailor Moon S: Juugai Rantou!? Shuyaku Soudatsusen,56 Mins,0.9333333333333333
Sailor Moon S: Kondo wa Puzzle de Oshiokiyo!,--,
Anarchy Reigns,6 Hours,6.0
Disaster Report,5.5 Hours,5.5
Disaster Report 4: Summer Memories,11 Hours,11.0
Bratz: Forever Diamondz,--,
Senran Kagura: Peach Beach Splash,13 Hours,13.0
Tenchu: Return From Darkness,8.5 Hours,8.5
Bound by Flame,12.5 Hours,12.5
Vampire Rain,11 Hours,11.0
Deus Ex,23 Hours,23.0
The Last Airbender,5 Hours,5.0
Avatar: The Last Airbender,6 Hours,6.0
Avatar: The Last Airbender - Into the Inferno,5 Hours,5.0
7 Days to Die,52 Hours,52.0
Project: Snowblind,6 Hours,6.0
KanColle Kai,--,
Evil Dead: Regeneration,6 Hours,6.0
Tenchu: Shadow Assassins,10 Hours,10.0
BeyBlade VForce: Super Tournament Battle,4 Hours,4.0
LBX: Little Battlers Experience,26.5 Hours,26.5
Beyblade G-Revolution,20 Hours,20.0
Dragon Ball: Revenge of King Piccolo,7.5 Hours,7.5
3rd Super Robot Wars Z: Tengoku-hen,62.5 Hours,62.5
Marvel Super Hero Squad: Comic Combat,4 Hours,4.0
Forgotten Realms: Demon Stone,7 Hours,7.0
Agents of Mayhem,16.5 Hours,16.5
Captain America: Super Soldier,6 Hours,6.0
Shaman King: Spirit of Shamans,1 Hours,1.0
Tom and Jerry in House Trap,3.5 Hours,3.5
Predator: Concrete Jungle,11 Hours,11.0
The Great Escape,--,
Rayman 2: The Great Escape,8 Hours,8.0
AR-K: Episode 3 - The Great Escape,3 Hours,3.0
Whiskey & Zombies: The Great Southern Zombie Escape,--,
Alien Jailbreak: The Great Escape,--,
Zivot Neni Krasny 7: Utek z Veznice Georgetown,--,
Pac-Man & Galaga Dimensions,--,
Dinotopia: The Timestone Pirates,2.5 Hours,2.5
Rise of the Argonauts,12 Hours,12.0
Spongebob's Surf & Skate Roadtrip,--,
Kamen Rider: Battride War,18.5 Hours,18.5
Kamen Rider: Battride War II,22.5 Hours,22.5
Kamen Rider: Battride War Genesis,--,
Chaotic: Shadow Warriors,--,
Kenka Banchou 4: Ichinen Sensou,--,
Tenchu: Fatal Shadows,5.5 Hours,5.5
Beyblade: Metal Fusion - Battle Fortress,1.5 Hours,1.5
Rise of the Kasai,9 Hours,9.0
Warriors: Legends of Troy,7 Hours,7.0
The Scorpion King: Sword of Osiris,2 Hours,2.0
The Surge,21 Hours,21.0
The Surge 2,21.5 Hours,21.5
Surgeon Simulator VR: Meet the Medic,25 Mins,0.4166666666666667
The Surge: A Walk in the Park,2.5 Hours,2.5
"The Surge: The Good, the Bad and the Augmented",3.5 Hours,3.5
The Surge 2: The Kraken,1.5 Hours,1.5
Jackie Chan Adventures: Legend of the Dark Hand,3.5 Hours,3.5
Ty the Tasmanian Tiger 3: Night of the Quinkan,7 Hours,7.0
Disney's Meet the Robinsons,4 Hours,4.0
Treasures of the Deep,6 Hours,6.0
Dragon Blade: Wrath of Fire,6 Hours,6.0
The Munchables,5 Hours,5.0
Senran Kagura: Estival Versus,15 Hours,15.0
Senran Kagura: Estival Versus - Dual Blooming Hearts DLC,2 Hours,2.0
Senran Kagura: Estival Versus - Mission Set DLC,3.5 Hours,3.5
Indiana Jones and the Emperor's Tomb,12 Hours,12.0
Casper: Friends Around the World,5 Hours,5.0
Mushroom Men: The Spore Wars,4 Hours,4.0
Big Hero 6: Battle in the Bay,--,
Senran Kagura 2: Deep Crimson,11.5 Hours,11.5
Cabela's Big Game Hunter: 2005 Adventures,1.5 Hours,1.5
Soulcalibur Legends,8 Hours,8.0
Batman: Vengeance,8 Hours,8.0
Hellboy: The Science of Evil,9 Hours,9.0
Splatterhouse,1.5 Hours,1.5
Splatterhouse 2,1.5 Hours,1.5
Splatterhouse 3,2 Hours,2.0
Splatterhouse: Wanpaku Graffiti,52 Mins,0.8666666666666667
Naruto Shippuden: Dragon Blade Chronicles,5.5 Hours,5.5
Ball Breakers,--,
The Grim Adventures of Billy & Mandy,47 Mins,0.7833333333333333
Katamari Damacy Reroll,4.5 Hours,4.5
World Destruction League: Thunder Tanks,9 Hours,9.0
RoadKill,--,
Where They Cremate The Roadkill,--,
Macross Ultimate Frontier,--,
Mercury Meltdown Revolution,--,
Fairytale Fights,10.5 Hours,10.5
The Cursed Crusade,8 Hours,8.0
Catwoman,2 Hours,2.0
Garfield: Lasagna World Tour,3.5 Hours,3.5
Beat Down: Fists of Vengeance,9.5 Hours,9.5
ReLoaded,2 Hours,2.0
Worms: Reloaded,9.5 Hours,9.5
Mercenary Kings,19.5 Hours,19.5
Soulcalibur II,3.5 Hours,3.5
Portal Reloaded,5.5 Hours,5.5
Conker: Live & Reloaded,11 Hours,11.0
Western 1849: Reloaded,2 Hours,2.0
Leisure Suit Larry in the Land of the Lounge Lizards: Reloaded,3.5 Hours,3.5
Invisigun Heroes,--,
Holyday City: Reloaded,--,
GoldenEye 007: Reloaded,6.5 Hours,6.5
Wild Guns: Reloaded,1.5 Hours,1.5
Chicken Assassin: Reloaded,--,
Sky Force Reloaded,16.5 Hours,16.5
Bloop Reloaded,--,
Red Comrades Save the Galaxy - Reloaded,6.5 Hours,6.5
Touhou Genso Wanderer: Reloaded,4.5 Hours,4.5
AngerForce: Reloaded,6 Hours,6.0
Valkyrie Drive: Bhikkhuni,16.5 Hours,16.5
Batman Beyond: Return of the Joker,58 Mins,0.9666666666666667
Axiom Verge,10.5 Hours,10.5
Axiom Verge 2,8.5 Hours,8.5
Aliens: Infestation,6 Hours,6.0
Transformers Animated: The Game,--,
Armor Ambush,5 Mins,0.08333333333333333
Death Trap,--,
The Death Trap,1.5 Hours,1.5
The Death Trap II: Will,2 Hours,2.0
Akiba's Trip: Undead & Undressed,8.5 Hours,8.5
Curious George,3 Hours,3.0
Battlezone,12.5 Hours,12.5
BattleZone,--,
BattleZone 98 Redux,--,
Battlezone: Combat Commander,--,
Battlezone II: Combat Commander,12 Hours,12.0
Battlezone: Rise of the Black Dogs,--,
Battlezone 2000,--,
Fatal Frame II: Crimson Butterfly,9.5 Hours,9.5
Berserk and the Band of the Hawk,15.5 Hours,15.5
Rudolph the Red-Nosed Reindeer,15 Mins,0.25
Tak: Mojo Mistake,--,
Robots,7.5 Hours,7.5
Not The Robots,2.5 Hours,2.5
Girls Like Robots,4.5 Hours,4.5
Shoot Many Robots,5.5 Hours,5.5
Bear With Me: The Lost Robots,2 Hours,2.0
Choice of Robots,2.5 Hours,2.5
Insane Robots,2 Hours,2.0
Tiny Robots Recharged,3 Hours,3.0
Rock 'Em Sock 'Em Robots,--,
Rise of the Robots,35 Mins,0.5833333333333334
Cubix Robots for Everyone: Showdown,8.5 Hours,8.5
Twin Robots,--,
Mayan Death Robots,--,
Robots Attack On Vapeland,--,
Botlike - A Robot's Rampage,--,
Cubix: Robots For Everyone - Race 'N Robots,--,
Dungeons & Robots,--,
Sengoku Basara: Chronicle Heroes,20 Hours,20.0
Buck Bumble,6 Hours,6.0
Spyro: Shadow Legacy,3.5 Hours,3.5
Dragon Ball: Origins 2,9.5 Hours,9.5
Gundam Breaker 2,--,
Masters of the Universe - He-Man: Power of Grayskull,3 Hours,3.0
Wing Commander III: Heart of the Tiger,12 Hours,12.0
Space Camp,--,
Pressure Cooker,--,
Thor: God of Thunder,5.5 Hours,5.5
SpongeBob's Truth or Square,3.5 Hours,3.5
The Secret Saturdays: Beasts of the 5th Sun,4 Hours,4.0
Zoids: Battle Legends,4.5 Hours,4.5
Killer7,13.5 Hours,13.5
T'ai Fu: Wrath of the Tiger,4.5 Hours,4.5
Monster Hunter Diary: Poka Poka Airou Village DX,--,
LEGO Ninjago: Shadow of Ronin,5 Hours,5.0
Song of the Deep,7 Hours,7.0
Empress of the Deep 2: Song Of The Blue Whale,3 Hours,3.0
Metroid Prime: Federation Force,10.5 Hours,10.5
Elf: The Movie,1 Hours,1.0
Grabbed by the Ghoulies,6.5 Hours,6.5
Has-Been Heroes,17 Hours,17.0
Power Rangers: Super Legends,7.5 Hours,7.5
Fatal Frame,7.5 Hours,7.5
Fatal Frame: Maiden of Black Water,15 Hours,15.0
Fatal Frame III: The Tormented,15 Hours,15.0
Fatal Frame IV: Mask of the Lunar Eclipse,12.5 Hours,12.5
Project Zero 2: Wii Edition,11 Hours,11.0
The Fifth Element,--,
Kamen Rider Ryuki,15 Mins,0.25
Senran Kagura Burst,15.5 Hours,15.5
Senran Kagura Burst Re:Newal,15 Hours,15.0
Senran Kagura Burst Re:Newal - Miyabi Campaign,2 Hours,2.0
Fur Fighters: Viggo's Revenge,--,
Krull,5 Mins,0.08333333333333333
The Da Vinci Code,9 Hours,9.0
Bio Freaks,--,
WCW Backstage Assault,--,
Yogi Bear: The Video Game,--,
X-Blades,7 Hours,7.0
Just Cause,8.5 Hours,8.5
Just Cause 3,18 Hours,18.0
Just Cause 4,16 Hours,16.0
Just Cause 3: Mech Land Assault DLC,2.5 Hours,2.5
Just Cause 3: Bavarium Sea Heist DLC,1.5 Hours,1.5
Just Cause 4: Dare Devils of Destruction DLC,1 Hours,1.0
Just Cause 4: Los Demonios DLC,2.5 Hours,2.5
Just Cause 4: Danger Rising DLC,3 Hours,3.0
The Great Ace Attorney 2: Resolve,34 Hours,34.0
Eragon,7 Hours,7.0
Star Wars: Jedi Power Battles,6 Hours,6.0
Gundam Breaker 3,9 Hours,9.0
Cyber Sled,--,
Deception IV: Blood Ties,13.5 Hours,13.5
Mary-Kate and Ashley: Crush Course,2 Hours,2.0
Naruto Shippuden: Kizuna Drive,--,
Nayuta no Kiseki,19 Hours,19.0
Rurouni Kenshin: Enjou! Kyoto Rinne,4 Hours,4.0
Destroy All Humans! Big Willy Unleashed,7 Hours,7.0
New Gundam Breaker,20.5 Hours,20.5
Superman: The Man of Steel,5 Hours,5.0
Tales of the Heroes: Twin Brave,21.5 Hours,21.5
Hyperdimension Neptunia U: Action Unleashed,10 Hours,10.0
MegaTagmension Blanc + Neptune VS Zombies,6.5 Hours,6.5
007: Quantum of Solace,6 Hours,6.0
NightCaster: Defeat the Darkness,--,
NightCaster II: Equinox,--,
"Crouching Tiger, Hidden Dragon",1.5 Hours,1.5
Destroy All Humans! Path of the Furon,11.5 Hours,11.5
Otogi: Myth of Demons,12 Hours,12.0
Fat Princess: Fistful of Cake,5 Hours,5.0
Onechanbara: Bikini Samurai Squad,6 Hours,6.0
Assault: Retribution,--,
Advent Rising,8 Hours,8.0
The Surprising Adventures of Munchausen,--,
Chessmaster: The Art of Learning,--,
Gladiator Begins,10 Hours,10.0
Teenage Mutant Ninja Turtles: Arcade Attack,1.5 Hours,1.5
The Inpatient,2 Hours,2.0
Galidor: Defenders of the Outer Dimension,--,
Gundam Battle Royale,--,
All Kamen Rider: Rider Generation,6.5 Hours,6.5
All Kamen Rider: Rider Generation 2,2.5 Hours,2.5
Undead Knights,7 Hours,7.0
Ninja Reflex,3.5 Hours,3.5
Replay: VHS is not dead,--,
Legend of the Guardians: The Owls of Ga'Hoole,6.5 Hours,6.5
Fate/Extella Link,9.5 Hours,9.5
Macross Triangle Frontier,--,
Jaws: Ultimate Predator,3.5 Hours,3.5
Gladiator: Sword of Vengeance,9.5 Hours,9.5
OneChanbara: Bikini Zombie Slayers,6 Hours,6.0
Nightshade,8 Hours,8.0
Blooming Nightshade,26 Mins,0.43333333333333335
Puss in Boots,3 Hours,3.0
American McGee's Grimm: Episode 04 - Puss in Boots,41 Mins,0.6833333333333333
Barnyard,8.5 Hours,8.5
Barnyard Mahjong 3,3.5 Hours,3.5
Barnyard Blast: Swine of the Night,2.5 Hours,2.5
Barnyard Blaster,--,
ToeJam & Earl III: Mission to Earth,4 Hours,4.0
LEGO Knights' Kingdom,2.5 Hours,2.5
Dead Cells,14 Hours,14.0
Dead Cells: The Bad Seed,3.5 Hours,3.5
Dead Cells: Fatal Falls,--,
Dead Cells: Rise of the Giant,--,
Dead Cells: The Queen and the Sea,--,
Retro Game Challenge,10 Hours,10.0
Retro Game Challenge 2,--,
Phantom Dust,16 Hours,16.0
Shin Sangoku Musou: Multi Raid 2,--,
Stubbs the Zombie in Rebel Without a Pulse,6.5 Hours,6.5
Batman: Dark Tomorrow,6.5 Hours,6.5
Spy vs. Spy,1 Hours,1.0
Spy vs. Spy III: Arctic Antics,--,
Cory in the House,3 Hours,3.0
Cold Fear,6.5 Hours,6.5
Zangeki no Reginleiv,--,
Sabrina the Teenage Witch: Potion Commotion,2 Hours,2.0
xXx,3 Hours,3.0
Fxxx Me Royally!! Horny Magical Princess,--,
BMX XXX,5.5 Hours,5.5
Hentai XXX Plus: Jigsaws Vol 2,15 Mins,0.25
Sir'haXXX,--,
Astro Boy: The Video Game,3 Hours,3.0
Batman & Robin,20 Hours,20.0
The Adventures of Batman & Robin,3 Hours,3.0
Chopper Attack,10 Hours,10.0
LHX Attack Chopper,5.5 Hours,5.5
Chopper: Attack Helicopters,--,
Spyborgs,6 Hours,6.0
Alias,19 Hours,19.0
Mushroom Men: Rise of the Fungi,--,
Constantine,8 Hours,8.0
Pokemon Rumble World,22.5 Hours,22.5
Naruto Shippuden 3D: The New Era,5.5 Hours,5.5
Rengoku: The Tower of Purgatory,4 Hours,4.0
Dynasty Warriors Advance,11.5 Hours,11.5
Naruto Shippuden: Naruto vs. Sasuke,3.5 Hours,3.5
Hysteria Hospital: Emergency Ward,--,
Troll and I,9.5 Hours,9.5
Super Troll Islands,--,
The Trolls in Crazyland,--,
Pariah,4.5 Hours,4.5
Blades of Time,9 Hours,9.0
Blades of Time - Dismal Swamp DLC,54 Mins,0.9
Macross 30: Voices Across the Galaxy,20 Hours,20.0
Death by Degrees,12 Hours,12.0
Romance of the Three Kingdoms XIII,48 Hours,48.0
Colin McRae Rally 04,4.5 Hours,4.5
Shellshock,8 Hours,8.0
ShellShock Live,12.5 Hours,12.5
Shellshock 2: Blood Trails,4 Hours,4.0
Shellshock: Nam '67,5.5 Hours,5.5
Warriors All-Stars,8 Hours,8.0
Hot Wheels Ultimate Racing,--,
Urban Chaos,14.5 Hours,14.5
Urban Chaos: Riot Response,8 Hours,8.0
Generator Rex: Agent of Providence,4.5 Hours,4.5
Hyperdimension Neptunia Re;Birth 3: V Generation,33 Hours,33.0
Hyperdimension Neptunia Re;Birth 3: V Generation - Let's Get Nepucated,15 Mins,0.25
Dragonseeds,13 Hours,13.0
Lode Runner 3-D,--,
Star Wars: Lethal Alliance,5.5 Hours,5.5
Tornado Outbreak,5 Hours,5.0
Young Justice: Legacy,8 Hours,8.0
Code Lyoko: Quest for Infinity,6.5 Hours,6.5
Nights of Azure 2: Bride of the New Moon,13.5 Hours,13.5
Disney's Aladdin in Nasira's Revenge,--,
