Name,Platform,Genre,Global_Sales,game_key,Name_meta,Genre_meta,Score_pro,Score_user,Publisher,Developer,N_pro,N_user,year,Franchise_wikipedia,compound,multiplayer,singleplayer,oem,Global_Sales.log,N_pro.log,N_user.log,PC,nintendo,playstation,xbox,Publisher_top,pub_activision,pub_amc games,pub_capcom,pub_ea games,pub_ea sports,pub_electronic arts,pub_konami,pub_nintendo,pub_scea,pub_sega,pub_thq,pub_ubisoft,Franchise_top,lic_Final Fantasy,lic_Harry Potter,lic_Marvel,lic_NBA,lic_Others,lic_PGA Tour,lic_Prince of Persia,lic_Sonic The Hedgehog,lic_Star Wars,lic_The Sims,lic_Tom Clancy’s,lic_WWE,year.release_2001,year.release_2002,year.release_2003,year.release_2004,year.release_2005,year.release_2006,year.release_2007,year.release_2008,year.release_2009,year.release_2010,year.release_2011,year.release_2012,year.release_2013,year.release_2014,year.release_2015,year.release_2016,year.release_2017,year.release_2018,genre_Action,genre_Action-Adventure,genre_Adventure,genre_Fighting,genre_MMO,genre_Misc,genre_Music,genre_Party,genre_Platform,genre_Puzzle,genre_Racing,genre_Role-Playing,genre_Shooter,genre_Simulation,genre_Sports,genre_Strategy,genre_Visual+Novel,labels,labels_0,labels_1,labels_2,labels_3,labels_4,labels_5,labels_6,labels_7
Resident Evil 5,PS4,Action,0.07,resident-evil-5,Resident Evil 5,"Action Adventure, Survival",6.9,7.2,capcom,Capcom,14,371,2016,Resident Evil,0.4885357142857143,1.0,1.0,playstation,11.156264806643742,2.70805020110221,5.918893854273146,0,0,1,0,capcom,0,0,1,0,0,0,0,0,0,0,0,0,Others,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0
Resident Evil 5,PC,Action,0.07,resident-evil-5,Resident Evil 5,"Action Adventure, Horror, Horror, Survival",8.6,7.2,capcom,Capcom,30,987,2009,Resident Evil,0.61594,1.0,1.0,PC,11.156264806643742,3.4339872044851463,6.895682697747868,1,0,0,0,capcom,0,0,1,0,0,0,0,0,0,0,0,0,Others,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0
Resident Evil 5,XOne,Action,0.04,resident-evil-5,Resident Evil 5,"Action Adventure, Survival",7.5,7.4,capcom,Capcom,8,100,2016,Resident Evil,0.215175,1.0,1.0,xbox,10.596659732783579,2.1972245773362196,4.61512051684126,0,0,0,1,capcom,0,0,1,0,0,0,0,0,0,0,0,0,Others,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1
Grand Theft Auto: Vice City Stories,PSP,Action,5.08,grand-theft-auto-vice-city-stories,Grand Theft Auto: Vice City Stories,"Action Adventure, Modern, Modern, Open-World",8.6,8.2,rockstar games,Rockstar Leeds,50,54,2006,Grand theft Auto,0.4749215000000001,1.0,1.0,playstation,15.44082201640504,3.9318256327243257,4.007333185232471,0,0,1,0,Others,0,0,0,0,0,0,0,0,0,0,0,0,Others,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0
Grand Theft Auto: Vice City Stories,PS2,Action,0.97,grand-theft-auto-vice-city-stories,Grand Theft Auto: Vice City Stories,"Action Adventure, Modern",7.5,7.8,rockstar games,Rockstar Leeds,37,159,2007,Grand theft Auto,0.2986027027027026,1.0,1.0,playstation,13.785052381406869,3.6375861597263857,5.075173815233827,0,0,1,0,Others,0,0,0,0,0,0,0,0,0,0,0,0,Others,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0
Monster Hunter: World,XOne,Action,0.93,monster-hunter-world,Monster Hunter: World,"Role-Playing, Action RPG",9.0,7.2,capcom,Capcom,17,99,2018,Monster Hunter,0.7744323529411762,0.0,1.0,xbox,13.742940940397677,2.8903717578961645,4.605170185988092,0,0,0,1,capcom,0,0,1,0,0,0,0,0,0,0,0,0,Others,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1
The Lord of the Rings: The Two Towers,PS2,Action,4.67,the-lord-of-the-rings-the-two-towers,The Lord of the Rings: The Two Towers,"Action, Beat-'Em-Up",8.2,8.1,ea games,Stormfront Studios,32,122,2002,The Lord of the Rings,0.3210406250000001,0.0,1.0,playstation,15.35666984377782,3.4965075614664802,4.812184355372417,0,0,1,0,ea games,0,0,0,1,0,0,0,0,0,0,0,0,Others,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0
The Lord of the Rings: The Two Towers,PS2,Action,4.67,the-lord-of-the-rings-the-two-towers,The Lord of the Rings: The Two Towers,"Action, Beat-'Em-Up",8.2,8.1,ea games,Stormfront Studios,32,122,2002,The Lord of the Rings,0.3210406250000001,0.0,1.0,playstation,15.35666984377782,3.4965075614664802,4.812184355372417,0,0,1,0,ea games,0,0,0,1,0,0,0,0,0,0,0,0,Others,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0
The Lord of the Rings: The Two Towers,XB,Action,0.71,the-lord-of-the-rings-the-two-towers,The Lord of the Rings: The Two Towers,"Action, Beat-'Em-Up",7.9,8.2,ea games,Stormfront Studios,17,19,2002,The Lord of the Rings,0.1223176470588235,0.0,1.0,xbox,13.47302165746721,2.8903717578961645,2.995732273553991,0,0,0,1,ea games,0,0,0,1,0,0,0,0,0,0,0,0,Others,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1
The Lord of the Rings: The Two Towers,XB,Action,0.71,the-lord-of-the-rings-the-two-towers,The Lord of the Rings: The Two Towers,"Action, Beat-'Em-Up",7.9,8.2,ea games,Stormfront Studios,17,19,2002,The Lord of the Rings,0.1223176470588235,0.0,1.0,xbox,13.47302165746721,2.8903717578961645,2.995732273553991,0,0,0,1,ea games,0,0,0,1,0,0,0,0,0,0,0,0,Others,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1
