Name,Franchise,Rating igdb,Rating count igdb,Follows igdb,Name normalizes
Spider-Man,Marvel,78.4209467699749,183.0,65.0,SPIDER-MAN
Resident Evil 6,,67.28228327417361,325.0,73.0,RESIDENT EVIL 6
Saints Row 2,,72.5664928828696,201.0,78.0,SAINTS ROW 2
Metal Gear Solid V: The Phantom Pain,Metal Gear,85.4105389217171,749.0,354.0,METAL GEAR SOLID V: THE PHANTOM PAIN
Tom Clancy's Splinter Cell,,,,1.0,TOM CLANCY'S SPLINTER CELL
inFAMOUS,inFAMOUS,75.6779026330391,246.0,95.0,INFAMOUS
Devil May Cry,,81.2433165097665,247.0,70.0,DEVIL MAY CRY
Hitman 2: Silent Assassin,,81.06896120088861,296.0,109.0,HITMAN 2: SILENT ASSASSIN
Skylanders: Spyro's Adventure,Spyro the Dragon,67.0908368840267,20.0,3.0,SKYLANDERS: SPYRO'S ADVENTURE
Star Wars: The Force Unleashed,Star Wars,73.7659237029341,316.0,90.0,STAR WARS: THE FORCE UNLEASHED
Saints Row: The Third,,77.9371979366283,486.0,174.0,SAINTS ROW: THE THIRD
Onimusha: Warlords,,81.39135655294,53.0,22.0,ONIMUSHA: WARLORDS
LEGO Star Wars II: The Original Trilogy,Star Wars,78.15327130459279,148.0,40.0,LEGO STAR WARS II: THE ORIGINAL TRILOGY
Hannah Montana,,,,,HANNAH MONTANA
Star Wars: Shadows of the Empire,Star Wars,67.9883893982709,43.0,4.0,STAR WARS: SHADOWS OF THE EMPIRE
God of War Collection,God of War,87.15000946054779,21.0,4.0,GOD OF WAR COLLECTION
Streets of Rage,Streets of Rage,76.3537787340037,143.0,30.0,STREETS OF RAGE
,,,,,TOMB RAIDER (2013)
,,,,,ROCKSTAR GAMES DOUBLE PACK: GRAND THEFT AUTO III & GRAND THEFT AUTO VICE CITY
Tomb Raider: The Last Revelation,Tomb Raider,80.361002675529,96.0,36.0,TOMB RAIDER: THE LAST REVELATION
Dying Light,,81.24699997998411,560.0,248.0,DYING LIGHT
New Super Luigi U,Mario,77.1996498185121,19.0,11.0,NEW SUPER LUIGI U
Dino Crisis,Dino Crisis,77.1815416220427,97.0,27.0,DINO CRISIS
God of War: Ascension,God of War,73.96950300697111,153.0,53.0,GOD OF WAR: ASCENSION
Dead Island,,70.7658806295796,367.0,124.0,DEAD ISLAND
The Incredibles,The Incredibles,64.8275178160113,26.0,9.0,THE INCREDIBLES
Uncharted: The Lost Legacy,,83.8587395534615,317.0,164.0,UNCHARTED: THE LOST LEGACY
LEGO Marvel Super Heroes,The Avengers,78.6898390945954,130.0,52.0,LEGO MARVEL SUPER HEROES
Resident Evil: Code Veronica X HD,Resident Evil,85.0,3.0,1.0,RESIDENT EVIL - CODE: VERONICA X
Assassin's Creed IV: Black Flag,Assassin's Creed,82.6248267883963,1141.0,443.0,ASSASSIN'S CREED IV: BLACK FLAG
Grand Theft Auto,Grand theft Auto,75.644687884818,339.0,112.0,GRAND THEFT AUTO
Teenage Mutant Ninja Turtles II: The Arcade Game,Teenage Mutant Ninja Turtles,80.8420060678256,66.0,15.0,TEENAGE MUTANT NINJA TURTLES II: THE ARCADE GAME
Devil May Cry 3: Dante's Awakening – Special Edition,,87.8120622789868,66.0,16.0,DEVIL MAY CRY 3: DANTE'S AWAKENING SPECIAL EDITION
Saints Row,,66.7832180024636,56.0,23.0,SAINTS ROW
Final Fantasy Tactics Advance,Final Fantasy,82.2781527243983,103.0,25.0,FINAL FANTASY TACTICS ADVANCE
Dynasty Warriors 5,,64.77312336670009,20.0,6.0,DYNASTY WARRIORS 4
Devil May Cry 3: Dante's Awakening,,84.1096262281772,264.0,88.0,DEVIL MAY CRY 3: DANTE'S AWAKENING
Finding Nemo,Finding Nemo,63.4126487641785,15.0,4.0,FINDING NEMO
Dead Rising,,73.4609781406338,140.0,57.0,DEAD RISING
Metal Gear Solid: Peace Walker,Metal Gear,79.30962164287169,172.0,69.0,METAL GEAR SOLID: PEACE WALKER
Hitman: Absolution,,75.9100929474422,461.0,221.0,HITMAN: ABSOLUTION
Toy Story 3: The Video Game,Disney,74.4659208755247,29.0,12.0,TOY STORY 3: THE VIDEO GAME
Tom Clancy's Splinter Cell: Conviction,Tom Clancy,76.66000003357891,233.0,95.0,TOM CLANCY'S SPLINTER CELL: CONVICTION
